Hospital code,Own home/sheltered housing. N,Own home/sheltered housing. %,Rehabilitation unit. N,Rehabilitation unit. %,Acute hospital. N,Acute hospital. %,Residential care. N,Residential care. %,Nursing care. N,Nursing care. %,Dead. N,Dead. %,Other. N,Other. %,Unknown. N,Unknown. %,Admitted from/discharged to Total cases,A&E to Orthopaedic ward in 4 hours (QS16 -1). Yes. N,A&E to Orthopaedic ward in 4 hours (QS16 -1). Yes. %,A&E to Orthopaedic ward in 4 hours (QS16 -1). No. N,A&E to Orthopaedic ward in 4 hours (QS16 -1). No. %,A&E to Orthopaedic ward in 4 hours (QS16 -1). Total,AMTS recorded. Yes. N,AMTS recorded. Yes. %,AMTS recorded. No. N,AMTS recorded. No. %,AMTS recorded. Total,Perioperative medical assessment. No. N,Perioperative medical assessment. No. %,Perioperative medical assessment. Yes. N,Perioperative medical assessment. Yes. %,Perioperative medical assessment. Total,Mobilised out of bed. No. N,Mobilised out of bed. No. %,Mobilised out of bed. Yes. N,Mobilised out of bed. Yes. %,Mobilised out of bed. Total.,Falls assessment (QS 16 -11). Yes. N,Falls assessment (QS 16 -11). Yes. %,Falls assessment (QS 16 -11). No. N,Falls assessment (QS 16 -11). No. %,Falls assessment (QS 16 -11). Total.,Bone health assessment (QS16 – 12). Yes. N,Bone health assessment (QS16 – 12). Yes. %,Bone health assessment (QS16 – 12). No. N,Bone health assessment (QS16 – 12). No. %,Bone health assessment (QS16 – 12). Total,Best practice tariff achievement. Yes. N,Best practice tariff achievement. Yes. %,Best practice tariff achievement. No. N,Best practice tariff achievement. No. %,Best practice tariff achievement. Total,"Surgery on day of, or day after, admission. Yes. N","Surgery on day of, or day after, admission. Yes. %","Surgery on day of, or day after, admission. No. N","Surgery on day of, or day after, admission. No %","Surgery on day of, or day after, admission. Total",GA. N,GA. %,Not GA. N,Not GA. %,GA Anaesthetics Total,GA + nerve block. N,GA + nerve block. %,GA without NB. N,GA without NB. %,GA NB. Total,SA all. N,SA all. %,Not SA. N,Not SA. %,SA anaesthesia. Total,SA + nerve block. N,SA + nerve block. %,SA without nerve block. N,SA without nerve block. %,SA Total,Cemented. N,Cemented. %,Not cemented. N,Not cemented. %,Arthroplasties total,THR. No. N,THR. No. %,THR. Yes. N,THR. Yes. %,THR eligible. Total,Intertrochanteric SHS. Yes. N,Intertrochanteric SHS. Yes.%,Intertrochanteric SHS. No N,Intertrochanteric SHS. No %,Intertrochanteric. Total,Subtrochanteric – all intramedullary nail. N,Subtrochanteric – all intramedullary nail.%,Subtrochanteric – not intramedullary nail. N,Subtrochanteric – not intramedullary nail. %,Subtrochanteric – total,Case s submitted,Case ascertainment denominator,Case ascertainment %,LOS analysis N,Acute LOS,Post-acute LOS,Total LOS,Return to own home within 30 days. No. N,Return to own home within 30 days. No. %,Return to own home within 30 days. Yes. N,Return to own home within 30 days. Yes. %,Return to own home within 30 days. Total cases,Reoperated within 30 days. Yes. N,Reoperated within 30 days. Yes. %,Reoperated within 30 days. No. N,Reoperated within 30 days. No. %,Reoperated within 30 days. Total cases.,Developing a pressure ulcer (CG179). Yes. N,Developing a pressure ulcer (CG179). Yes. %,Developing a pressure ulcer (CG179). No N,Developing a pressure ulcer (CG179). No %,Developing a pressure ulcer (CG179). Total cases.,Unknown pressure ulcer (CG179). Yes. N,Unknown pressure ulcer (CG179). Yes. %,Unknown pressure ulcer (CG179). No N,Unknown pressure ulcer (CG179). No %,Unknown pressure ulcer (CG179). Total cases.,Hip fracture sustained as an inpatient. Yes. N,Hip fracture sustained as an inpatient. Yes. %,Hip fracture sustained as an inpatient. No. N,Hip fracture sustained as an inpatient. No. %,Hip fracture sustained as an inpatient. All cases,No OG consultantr hrs,No OG middle grade hrs,No OG ward rounds/week,No nurse practitioners,OG weekend cover?,Who collects data?,Who enters data?,Routine nerve blocks offered?,Where nerve blocks administered?,Enhanced recovery programme?,Pain tool used?,Clinical governance meetings?,Who attends?,What is discussed?,Who does bone health assessment?,Fracture Liaison Service?,FLS run by?,Does FLS lead on falls?,Single room accomodation in catchment,Can you refer to strength and balance training?,Do you use Nottingham Score?
SEH,145,58.70%,56,22.67%,0,0.00%,34,13.77%,*,0.81%,7,2.83%,*,0.81%,*,0.40%,*,166,53.4%,145,46.6%,311,291,90.1%,32,9.9%,323,36,11.1%,287,88.9%,323,34,14.5%,201,85.5%,235,316,100.0%,0,0.0%,316,300,94.9%,16,5.1%,316,143,42.4%,194,57.6%,337,217,67.18%,106,32.82%,323,229,70.90%,94,29.10%,323,183,79.91%,46,20.09%,229,81,25.08%,242,74.92%,323,30,37.04%,51,62.96%,81,144,92.90%,11,7.10%,155,47,83.93%,9,16.07%,56,80,70.80%,33,29.20%,113,*,73.33%,*,26.67%,*,323,521,62.00%,317,12.4,0.1,12.5,105,42.51%,142,57.49%,247,*,0.31%,*,99.69%,*,23,7.28%,293,92.72%,316,*,0.32%,*,99.68%,*,8,2.48%,315,97.52%,323,15,0,5,1,No,ND,ND,No,Unknown,Yes,Yes,Not routinely,N/A,N/A,OG,Both,RH,No,Unknown,NA,No
SGH,279,60.00%,124,26.67%,9,1.94%,7,1.51%,11,2.37%,29,6.24%,*,1.08%,*,0.22%,*,207,37.4%,347,62.6%,554,581,96.0%,24,4.0%,605,29,4.8%,576,95.2%,605,42,9.7%,393,90.3%,435,549,98.9%,6,1.1%,555,*,99.3%,*,0.7%,*,379,61.3%,239,38.7%,618,446,73.72%,159,26.28%,605,247,40.83%,358,59.17%,605,76,30.77%,171,69.23%,247,238,39.34%,367,60.66%,605,18,7.56%,220,92.44%,238,294,95.77%,13,4.23%,307,58,40.28%,86,59.72%,144,37,20.11%,147,79.89%,184,29,100.00%,0,0.00%,29,605,628,96.34%,556,18.8,1.8,20.7,239,50.42%,235,49.58%,474,0,0.00%,582,100.00%,582,15,2.70%,540,97.30%,555,195,35.14%,360,64.86%,555,32,5.29%,573,94.71%,605,40,80,5,0,No,ND,AD,No,Unknown,No,Yes,Quarterly,ORC;OGC;NS;PH;OC,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,No,Unknown,Unknown,Unknown,FPC;CR,No
SHC,172,51.96%,89,26.89%,13,3.93%,6,1.81%,22,6.65%,16,4.83%,*,3.63%,*,0.30%,*,94,22.8%,319,77.2%,413,*,99.5%,*,0.5%,*,*,0.9%,*,99.1%,*,54,16.4%,276,83.6%,330,404,100.0%,0,0.0%,404,404,100.0%,0,0.0%,404,390,87.6%,55,12.4%,445,393,91.18%,38,8.82%,431,268,62.18%,163,37.82%,431,41,15.30%,227,84.70%,268,143,33.18%,288,66.82%,431,11,7.69%,132,92.31%,143,168,80.77%,40,19.23%,208,57,76.00%,18,24.00%,75,116,80.56%,28,19.44%,144,*,85.71%,*,14.29%,*,431,470,91.70%,379,18.7,1.5,20.2,160,48.34%,171,51.66%,331,*,1.20%,*,98.80%,*,13,3.22%,391,96.78%,404,0,0.00%,404,100.00%,404,25,5.80%,406,94.20%,431,34,26,5,1,No,ND,TA,No,AED,Yes,Yes,Monthly,ORC;OGC;ANC;NS;TO,MM;DS;PSf;CI;LQ,OG,Outpatients,GEM,No,Unknown,CR,No
SHH,123,43.93%,105,37.50%,*,1.79%,14,5.00%,15,5.36%,16,5.71%,*,0.71%,*,0.00%,*,199,56.2%,155,43.8%,354,380,97.7%,9,2.3%,389,62,15.9%,327,84.1%,389,164,54.7%,136,45.3%,300,352,98.1%,7,1.9%,359,348,96.9%,11,3.1%,359,237,62.7%,141,37.3%,378,313,80.88%,74,19.12%,387,230,59.13%,159,40.87%,389,113,49.13%,117,50.87%,230,124,31.88%,265,68.12%,389,38,30.65%,86,69.35%,124,163,89.56%,19,10.44%,182,46,67.65%,22,32.35%,68,128,94.12%,8,5.88%,136,13,54.17%,11,45.83%,24,389,389,100.00%,355,22.2,0.9,23.2,170,60.50%,111,39.50%,281,0,0.00%,384,100.00%,384,14,3.90%,345,96.10%,359,*,0.28%,*,99.72%,*,25,6.43%,364,93.57%,389,20,24,4,1,No,ND;TA,TA,No,AN,No,No,Quarterly,ORC;OGC;ANC;NS;PH;OC;SW;AES;TO,DS;LOS;PSf;CI;LQ,OG,No,Unknown,Unknown,HOS,FPC;CR,occasionally
SLF,97,45.33%,88,41.12%,*,0.47%,0,0.00%,*,0.93%,14,6.54%,12,5.61%,*,0.00%,*,155,58.5%,110,41.5%,265,287,97.6%,7,2.4%,294,13,4.4%,281,95.6%,294,106,48.0%,115,52.0%,221,*,99.6%,*,0.4%,*,*,98.9%,*,1.1%,*,207,69.7%,90,30.3%,297,219,74.49%,75,25.51%,294,127,43.20%,167,56.80%,294,76,59.84%,51,40.16%,127,149,50.68%,145,49.32%,294,100,67.11%,49,32.89%,149,100,94.34%,6,5.66%,106,21,63.64%,12,36.36%,33,76,69.09%,34,30.91%,110,13,65.00%,7,35.00%,20,294,281,104.63%,260,15.2,1.3,16.5,123,56.68%,94,43.32%,217,*,1.79%,*,98.21%,*,8,3.01%,258,96.99%,266,*,1.50%,*,98.50%,*,26,8.84%,268,91.16%,294,68,0,5,1,No,ND,ND,Yes,AED;AEN;AN,Yes,Yes,Monthly,ORC;OGC;ANC;NS;PH;AES,MM;DS;LOS;LQ,OG;SN;OCR,Both,RH,No,SIT,FPC;CR,occasionally
SMV,195,68.42%,44,15.44%,6,2.11%,*,1.40%,12,4.21%,23,8.07%,*,0.35%,*,0.00%,*,94,26.4%,262,73.6%,356,*,98.9%,*,1.1%,*,26,7.0%,344,93.0%,370,33,12.0%,242,88.0%,275,*,99.4%,*,0.6%,*,*,99.7%,*,0.3%,*,243,65.0%,131,35.0%,374,264,71.35%,106,28.65%,370,243,65.68%,127,34.32%,370,235,96.71%,8,3.29%,243,100,27.03%,270,72.97%,370,49,49.00%,51,51.00%,100,142,84.52%,26,15.48%,168,43,55.13%,35,44.87%,78,94,71.76%,37,28.24%,131,19,100.00%,0,0.00%,19,370,427,86.65%,326,15.9,4.4,20.3,104,36.24%,183,63.76%,287,*,1.10%,*,98.90%,*,11,3.24%,329,96.76%,340,*,1.47%,*,98.53%,*,13,3.51%,357,96.49%,370,20,8,3,1,No,ND,ND,Yes,AED;AN;SN,No,Yes,Monthly,ORC;NS;PH;OC;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,SN;OCR,Inpatients,RH;O,Yes,HOS,FPC;CR,No
SOU,106,51.46%,14,6.80%,*,0.97%,45,21.84%,23,11.17%,12,5.83%,*,0.49%,*,1.46%,*,146,53.7%,126,46.3%,272,251,87.2%,37,12.8%,288,187,64.9%,101,35.1%,288,13,6.0%,203,94.0%,216,252,94.0%,16,6.0%,268,201,75.0%,67,25.0%,268,74,25.7%,214,74.3%,288,200,69.44%,88,30.56%,288,72,25.00%,216,75.00%,288,50,69.44%,22,30.56%,72,133,46.18%,155,53.82%,288,19,14.29%,114,85.71%,133,66,51.97%,61,48.03%,127,34,59.65%,23,40.35%,57,59,85.51%,10,14.49%,69,23,38.98%,36,61.02%,59,288,345,83.48%,255,16.5,1.7,18.2,99,48.06%,107,51.94%,206,*,1.48%,*,98.52%,*,*,0.75%,*,99.25%,*,*,0.37%,*,99.63%,*,8,2.78%,280,97.22%,288,4,4,5,2,No,ND,ND,No,Unknown,No,Yes,Not routinely,ORC;NS;PH;OC,MM;DS;LOS;DS;PSf;CI;LQ,OG,Both,RH,Yes,HOS,FPC;CR,No
SPH,211,63.94%,62,18.79%,*,0.30%,8,2.42%,12,3.64%,24,7.27%,12,3.64%,*,0.00%,*,262,66.2%,134,33.8%,396,*,99.8%,*,0.2%,*,*,0.7%,*,99.3%,*,92,30.4%,211,69.6%,303,385,100.0%,0,0.0%,385,385,100.0%,0,0.0%,385,342,83.4%,68,16.6%,410,344,83.50%,68,16.50%,412,304,73.79%,108,26.21%,412,200,65.79%,104,34.21%,304,64,15.53%,348,84.47%,412,*,7.81%,*,92.19%,*,23,11.73%,173,88.27%,196,62,68.89%,28,31.11%,90,70,43.75%,90,56.25%,160,13,100.00%,0,0.00%,13,412,400,103.00%,381,11.7,6.6,18.2,155,46.55%,178,53.45%,333,*,1.24%,*,98.76%,*,12,3.12%,373,96.88%,385,*,1.04%,*,98.96%,*,6,1.46%,406,98.54%,412,18,20,5,1.5,No,ND,ND,Yes,AED;AN,Yes,Yes,Monthly,ORC;OGC;ANC;NS;PH;OC;AES;TO,MM;DS;LOS;DS;PSf,OG,Both,GEM,No,Unknown,FPC;CR,routinely
STD,110,69.18%,0,0.00%,0,0.00%,11,6.92%,*,0.63%,13,8.18%,24,15.09%,*,0.00%,*,129,67.9%,61,32.1%,190,198,96.1%,8,3.9%,206,11,5.3%,195,94.7%,206,57,39.3%,88,60.7%,145,*,99.5%,*,0.5%,*,*,98.9%,*,1.1%,*,139,66.8%,69,33.2%,208,158,76.70%,48,23.30%,206,38,18.45%,168,81.55%,206,*,86.84%,*,13.16%,*,162,78.64%,44,21.36%,206,108,66.67%,54,33.33%,162,*,95.29%,*,4.71%,*,28,71.79%,11,28.21%,39,74,76.29%,23,23.71%,97,*,85.71%,*,14.29%,*,206,235,87.66%,184,14.3,13.4,27.6,85,52.47%,77,47.53%,162,*,2.01%,*,97.99%,*,11,5.85%,177,94.15%,188,*,1.60%,*,98.40%,*,15,7.28%,191,92.72%,206,5,10,2,0,No,ND,ND,Yes,AED;AN,Yes,Yes,Quarterly,OGC;ANC;NS;TO,MM;DS;LOS;LQ,OG,No,Unknown,No,Unknown,FPC,routinely
STH,104,75.36%,17,12.32%,*,0.72%,*,0.72%,*,1.45%,9,6.52%,0,0.00%,*,2.90%,*,112,74.7%,38,25.3%,150,153,92.2%,13,7.8%,166,19,11.4%,147,88.6%,166,*,4.1%,*,95.9%,*,*,98.7%,*,1.3%,*,152,100.0%,0,0.0%,152,93,54.1%,79,45.9%,172,114,68.67%,52,31.33%,166,85,51.20%,81,48.80%,166,42,49.41%,43,50.59%,85,36,21.69%,130,78.31%,166,7,19.44%,29,80.56%,36,28,46.67%,32,53.33%,60,19,63.33%,11,36.67%,30,53,88.33%,7,11.67%,60,*,80.00%,*,20.00%,*,166,217,76.50%,160,13.4,1.3,14.7,39,27.46%,103,72.54%,142,0,0.00%,156,100.00%,156,*,2.63%,*,97.37%,*,0,0.00%,152,100.00%,152,13,7.83%,153,92.17%,166,12,6,4,0,No,ND,TA,Yes,AED,No,No,Monthly,ORC;OGC;ANC;NS;PH;OC;AES,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,Outpatients,GEM,Yes,Unknown,FPC;CR,No
STM,127,63.82%,39,19.60%,6,3.02%,*,1.01%,11,5.53%,14,7.04%,0,0.00%,*,0.00%,*,24,11.2%,191,88.8%,215,189,81.8%,42,18.2%,231,37,16.0%,194,84.0%,231,98,59.0%,68,41.0%,166,*,98.6%,*,1.4%,*,*,98.6%,*,1.4%,*,106,46.3%,123,53.7%,229,159,68.83%,72,31.17%,231,142,61.47%,89,38.53%,231,78,54.93%,64,45.07%,142,63,27.27%,168,72.73%,231,13,20.63%,50,79.37%,63,*,95.83%,*,4.17%,*,33,78.57%,9,21.43%,42,68,82.93%,14,17.07%,82,17,68.00%,8,32.00%,25,231,364,63.46%,214,9.4,9.0,18.3,81,40.70%,118,59.30%,199,*,0.44%,*,99.56%,*,*,1.86%,*,98.14%,*,0,0.00%,215,100.00%,215,16,6.93%,215,93.07%,231,58,40,5,0,No,TA,TA,No,AED,No,No,Weekly,ORC,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,No,Unknown,Unknown,Unknown,FPC;CR,No
STO,166,36.48%,253,55.60%,6,1.32%,*,0.66%,*,1.10%,18,3.96%,*,0.44%,*,0.44%,*,188,32.7%,387,67.3%,575,586,97.3%,16,2.7%,602,44,7.3%,558,92.7%,602,50,10.7%,416,89.3%,466,*,99.6%,*,0.4%,*,568,100.0%,0,0.0%,568,406,68.0%,191,32.0%,597,446,74.09%,156,25.91%,602,453,75.25%,149,24.75%,602,323,71.30%,130,28.70%,453,125,20.76%,477,79.24%,602,12,9.60%,113,90.40%,125,185,56.06%,145,43.94%,330,58,53.70%,50,46.30%,108,*,98.16%,*,1.84%,*,17,58.62%,12,41.38%,29,602,651,92.47%,583,9.8,0.0,9.9,289,63.52%,166,36.48%,455,*,0.68%,*,99.32%,*,20,3.52%,548,96.48%,568,0,0.00%,568,100.00%,568,28,4.65%,574,95.35%,602,15,0,3,2,No,ND,ND,No,AED;AN,No,Yes,Monthly,ORC;OGC;ANC;NS,MM;DS;LOS;DS;CI,OG;SN;OCR;GP,Both,RH,Yes,Unknown,FPC;CR,No
STR,166,56.66%,86,29.35%,*,1.02%,7,2.39%,*,1.37%,13,4.44%,13,4.44%,*,0.34%,*,13,3.4%,364,96.6%,377,378,96.2%,15,3.8%,393,22,5.6%,371,94.4%,393,106,35.1%,196,64.9%,302,359,97.0%,11,3.0%,370,360,97.3%,10,2.7%,370,261,65.7%,136,34.3%,397,305,77.61%,88,22.39%,393,130,33.08%,263,66.92%,393,54,41.54%,76,58.46%,130,238,60.56%,155,39.44%,393,21,8.82%,217,91.18%,238,168,90.81%,17,9.19%,185,42,51.22%,40,48.78%,82,115,85.19%,20,14.81%,135,*,91.67%,*,8.33%,*,393,420,93.57%,361,15.0,0.2,15.2,103,34.22%,198,65.78%,301,*,1.36%,*,98.64%,*,*,0.81%,*,99.19%,*,*,1.35%,*,98.65%,*,14,3.56%,379,96.44%,393,10,1,5,0,No,ND;TA,TA,Yes,AED,No,Yes,Quarterly,ORC;OGC;ANC;NS;PH;OC;TO,MM;DS;LOS;DS;PSf;CI;CN,OG,No,Unknown,Unknown,Unknown,FPC;CR,routinely
SUN,184,69.43%,33,12.45%,0,0.00%,13,4.91%,0,0.00%,24,9.06%,11,4.15%,0,0.00%,265,238,66.7%,119,33.3%,357,380,97.2%,11,2.8%,391,57,14.6%,334,85.4%,391,64,20.6%,246,79.4%,310,*,99.7%,*,0.3%,*,*,99.4%,*,0.6%,*,276,69.5%,121,30.5%,397,318,81.33%,73,18.67%,391,94,24.04%,297,75.96%,391,49,52.13%,45,47.87%,94,268,68.54%,123,31.46%,391,94,35.07%,174,64.93%,268,208,95.85%,9,4.15%,217,44,66.67%,22,33.33%,66,*,96.30%,*,3.70%,*,*,79.17%,*,20.83%,*,391,410,95.37%,359,20.7,1.1,21.8,109,40.82%,158,59.18%,267,*,0.79%,*,99.21%,*,16,4.46%,343,95.54%,359,*,0.56%,*,99.44%,*,31,7.93%,360,92.07%,391,28,3,5,3.9,Yes,ND,ND,No,AED;AN,No,Yes,Monthly,ORC;OGC;ANC;NS,MM;DS;CI,OG;SN,Both,O,Yes,Unknown,FPC;CR,occasionally
TGA,40,25.64%,95,60.90%,*,2.56%,*,0.64%,7,4.49%,7,4.49%,*,1.28%,*,0.00%,*,155,68.3%,72,31.7%,227,240,100.0%,0,0.0%,240,44,18.3%,196,81.7%,240,18,9.7%,168,90.3%,186,*,99.1%,*,0.9%,*,*,99.6%,*,0.4%,*,91,41.2%,130,58.8%,221,118,49.17%,122,50.83%,240,*,2.08%,*,97.92%,*,*,40.00%,*,60.00%,*,222,92.50%,18,7.50%,240,*,0.90%,*,99.10%,*,86,100.00%,0,0.00%,86,*,97.30%,*,2.70%,*,66,71.74%,26,28.26%,92,*,77.78%,*,22.22%,*,240,308,77.92%,206,17.5,0.1,17.6,130,78.79%,35,21.21%,165,0,0.00%,213,100.00%,213,*,0.44%,*,99.56%,*,0,0.00%,226,100.00%,226,12,5.00%,228,95.00%,240,6,5,5,0,No,ND,ND,Yes,AN,Yes,Yes,Monthly,ORC;NS;TO,DS;LOS;PSf;CI;CN,OG,No,Unknown,No,Unknown,FPC;CR,No
TLF,78,79.59%,7,7.14%,0,0.00%,*,2.04%,*,1.02%,*,3.06%,*,1.02%,*,6.12%,*,77,59.2%,53,40.8%,130,114,83.2%,23,16.8%,137,137,100.0%,0,0.0%,137,28,27.2%,75,72.8%,103,82,62.6%,49,37.4%,131,100,76.3%,31,23.7%,131,0,0.0%,134,100.0%,134,82,59.85%,55,40.15%,137,89,64.96%,48,35.04%,137,16,17.98%,73,82.02%,89,27,19.71%,110,80.29%,137,*,11.11%,*,88.89%,*,18,41.86%,25,58.14%,43,12,66.67%,6,33.33%,18,*,96.97%,*,3.03%,*,*,22.22%,*,77.78%,*,137,284,48.24%,128,12.5,0.8,13.3,25,25.51%,73,74.49%,98,0,0.00%,132,100.00%,132,0,0.00%,131,100.00%,131,131,100.00%,0,0.00%,131,*,2.92%,*,97.08%,*,0,0,0,1,No,ND,ND,No,AN;OS,No,Yes,Quarterly,ORC;TO,MM;DS;LOS;DS;PSf;CN;LQ,SN;OCR,Both,GEM,Yes,Unknown,FPC,routinely
TOR,114,31.67%,208,57.78%,*,1.11%,17,4.72%,*,0.28%,13,3.61%,*,0.83%,*,0.00%,*,81,17.7%,377,82.3%,458,*,98.9%,*,1.1%,*,8,1.7%,463,98.3%,471,63,17.5%,297,82.5%,360,*,99.8%,*,0.2%,*,*,99.8%,*,0.2%,*,311,67.2%,152,32.8%,463,313,66.45%,158,33.55%,471,97,20.59%,374,79.41%,471,56,57.73%,41,42.27%,97,291,61.78%,180,38.22%,471,57,19.59%,234,80.41%,291,*,98.22%,*,1.78%,*,61,70.11%,26,29.89%,87,137,74.86%,46,25.14%,183,*,94.12%,*,5.88%,*,471,453,103.97%,422,8.4,0.2,8.6,213,59.17%,147,40.83%,360,*,0.43%,*,99.57%,*,8,1.78%,441,98.22%,449,25,5.57%,424,94.43%,449,12,2.55%,459,97.45%,471,20,40,5,2,No,ND,ND,Yes,AN;SN;O,Yes,No,Not routinely,N/A,N/A,OG;SN,Both,RH,No,Unknown,CR,No
TUN,283,76.49%,24,6.49%,*,0.27%,8,2.16%,34,9.19%,20,5.41%,0,0.00%,*,0.00%,*,278,56.5%,214,43.5%,492,*,99.8%,*,0.2%,*,27,5.4%,471,94.6%,498,149,40.8%,216,59.2%,365,460,98.7%,6,1.3%,466,*,99.4%,*,0.6%,*,380,74.2%,132,25.8%,512,401,80.52%,97,19.48%,498,68,13.65%,430,86.35%,498,31,45.59%,37,54.41%,68,407,81.73%,91,18.27%,498,13,3.19%,394,96.81%,407,217,95.59%,10,4.41%,227,93,82.30%,20,17.70%,113,92,88.46%,12,11.54%,104,39,75.00%,13,25.00%,52,498,605,82.31%,471,10.9,12.3,23.2,141,38.11%,229,61.89%,370,*,1.00%,*,99.00%,*,20,4.29%,446,95.71%,466,0,0.00%,466,100.00%,466,14,2.81%,484,97.19%,498,37,0,2,0,No,TA,TA,No,Unknown,No,Yes,Not routinely,N/A,N/A,OG,No,Unknown,Unknown,HOS,FPC;CR,occasionally
UCL,81,61.83%,37,28.24%,*,3.05%,0,0.00%,*,2.29%,6,4.58%,0,0.00%,*,0.00%,*,100,73.5%,36,26.5%,136,132,95.0%,7,5.0%,139,10,7.2%,129,92.8%,139,17,15.9%,90,84.1%,107,*,99.2%,*,0.8%,*,*,99.2%,*,0.8%,*,99,72.3%,38,27.7%,137,110,79.14%,29,20.86%,139,81,58.27%,58,41.73%,139,67,82.72%,14,17.28%,81,46,33.09%,93,66.91%,139,23,50.00%,23,50.00%,46,*,97.96%,*,2.04%,*,14,45.16%,17,54.84%,31,33,68.75%,15,31.25%,48,*,92.86%,*,7.14%,*,139,144,96.53%,128,17.0,1.7,18.7,56,42.42%,76,57.58%,132,*,1.49%,*,98.51%,*,*,1.52%,*,98.48%,*,0,0.00%,132,100.00%,132,*,2.88%,*,97.12%,*,10,8,2,1,Yes,ND,ND,Yes,AN,No,Yes,Not routinely,ORC;OGC;ANC;NS;PH;AES;TO,MM;DS;LOS;PSf;LQ,OG,No,Unknown,Unknown,Unknown,CR,routinely
UHC,313,83.47%,8,2.13%,*,0.27%,9,2.40%,11,2.93%,33,8.80%,0,0.00%,*,0.00%,*,167,35.4%,305,64.6%,472,*,99.4%,*,0.6%,*,101,19.5%,417,80.5%,518,17,4.5%,359,95.5%,376,*,98.9%,*,1.1%,*,458,97.2%,13,2.8%,471,315,60.8%,203,39.2%,518,364,70.27%,154,29.73%,518,289,55.79%,229,44.21%,518,264,91.35%,25,8.65%,289,191,36.87%,327,63.13%,518,161,84.29%,30,15.71%,191,*,98.24%,*,1.76%,*,65,61.32%,41,38.68%,106,157,94.01%,10,5.99%,167,38,77.55%,11,22.45%,49,518,527,98.29%,483,16.7,6.5,23.3,126,33.33%,252,66.67%,378,11,2.20%,488,97.80%,499,13,2.76%,458,97.24%,471,*,0.42%,*,99.58%,*,47,9.07%,471,90.93%,518,15,0,5,0,No,ND,AD,Yes,AN,Yes,Yes,Quarterly,ORC;OGC;ANC;NS;PH;OC,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,No,Unknown,Unknown,Unknown,CR,No
UHN,354,55.40%,154,24.10%,10,1.56%,12,1.88%,6,0.94%,49,7.67%,*,8.29%,*,0.16%,*,466,61.5%,292,38.5%,758,785,98.1%,15,1.9%,800,62,7.8%,738,92.3%,800,211,34.3%,404,65.7%,615,727,98.4%,12,1.6%,739,726,98.2%,13,1.8%,739,535,68.0%,252,32.0%,787,602,75.25%,198,24.75%,800,428,53.50%,372,46.50%,800,375,87.62%,53,12.38%,428,360,45.00%,440,55.00%,800,286,79.44%,74,20.56%,360,324,85.49%,55,14.51%,379,104,85.25%,18,14.75%,122,246,84.25%,46,15.75%,292,*,86.84%,*,13.16%,*,800,705,113.48%,748,16.7,1.4,18.1,321,50.16%,319,49.84%,640,7,0.89%,781,99.11%,788,11,1.49%,728,98.51%,739,*,0.14%,*,99.86%,*,*,0.25%,*,99.75%,*,20,4,5,1.4,No,TA,TA,Yes,AN,Yes,Yes,Not routinely,N/A,CI;CN,SN,Both,GEM,Yes,Unknown,FPC;CR,routinely
VIC,285,93.44%,0,0.00%,0,0.00%,0,0.00%,*,0.98%,16,5.25%,*,0.33%,*,0.00%,*,262,67.2%,128,32.8%,390,408,100.0%,0,0.0%,408,304,74.5%,104,25.5%,408,0,0.0%,310,100.0%,310,*,99.7%,*,0.3%,*,*,99.5%,*,0.5%,*,68,17.1%,330,82.9%,398,242,59.31%,166,40.69%,408,22,5.39%,386,94.61%,408,*,13.64%,*,86.36%,*,356,87.25%,52,12.75%,408,*,0.28%,*,99.72%,*,*,100.00%,*,0.00%,*,*,100.00%,*,0.00%,*,86,93.48%,6,6.52%,92,*,100.00%,*,0.00%,*,408,495,82.42%,360,17.6,8.9,26.5,143,46.28%,166,53.72%,309,0,0.00%,403,100.00%,403,6,1.55%,380,98.45%,386,0,0.00%,386,100.00%,386,0,0.00%,408,100.00%,408,14,0,2,2,No,AD,AD,No,AED,Yes,Yes,Monthly,ORC;NS;PH;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG;SN,No,Unknown,Unknown,Unknown,Unknown,occasionally
WAR,197,85.28%,14,6.06%,*,0.87%,*,1.30%,*,1.30%,11,4.76%,*,0.43%,*,0.00%,*,213,70.1%,91,29.9%,304,319,97.9%,7,2.1%,326,21,6.4%,305,93.6%,326,36,15.2%,201,84.8%,237,*,99.0%,*,1.0%,*,*,98.4%,*,1.6%,*,206,63.2%,120,36.8%,326,257,78.83%,69,21.17%,326,180,55.21%,146,44.79%,326,30,16.67%,150,83.33%,180,106,32.52%,220,67.48%,326,20,18.87%,86,81.13%,106,0,0.00%,153,100.00%,153,50,72.46%,19,27.54%,69,63,65.63%,33,34.38%,96,*,71.43%,*,28.57%,*,326,293,111.26%,301,12.7,7.3,20.0,71,30.21%,164,69.79%,235,7,2.19%,312,97.81%,319,*,0.97%,*,99.03%,*,*,0.97%,*,99.03%,*,29,8.90%,297,91.10%,326,20,40,5,6.3,No,ND,ND,No,AN,No,No,Not routinely,N/A,MM,OG,No,Unknown,No,Unknown,FPC,No
