Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount  
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Media Services,National Climate Change & Consumer Support - Communications,BLACKBIRD PRODUCTIONS,4022755,"1,820.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/08/2011,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4022758,"12,340.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4022760,"4,323.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4022761,"1,228.46"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/07/2011,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4022762,"2,828.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/07/2011,Local IT Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4022763,"2,828.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF CAMBRIDGE,4022765,"11,921.25"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4022767,"49,412.60"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4022768,"841,181.04"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4022769,812.78
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,ADECCO UK LTD,4022770,748.78
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4022771,710.38
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",HUDSON GLOBAL RESOURCES LTD,4022774,"7,837.27"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",HUDSON GLOBAL RESOURCES LTD,4022774,"12,682.73"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/07/2011,Grant in Aid - Current -Other,Energy Markets & Infrastructure - Energy Development Unit,COAL AUTHORITY,4022775,"4,500,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,DELOITTE LLP,4022776,"38,110.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GREEN TOMATO CARS LTD,4022777,592.72
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Stationery,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE DEPOT UK LTD,4022778,"1,240.80"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4022779,"267,557.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4022780,"34,800.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4022781,"6,898.22"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4022782,"12,206.55"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4022783,"4,035.43"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,THE TECHNOLOGY STRATEGY BOARD,4022784,"1,000,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4022785,"16,014.30"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4022787,"15,510.20"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4022788,"1,298.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4022790,"26,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4022791,"7,371.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/07/2011,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,ACKNOWLEDGE LTD,4022794,"1,400.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ADAM BOND COMMERCIAL ADVISORY LTD,4022797,"2,454.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ADAM BOND COMMERCIAL ADVISORY LTD,4022797,"21,711.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ADAM BOND COMMERCIAL ADVISORY LTD,4022797,"1,934.10"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Publications,Energy Markets & Infrastructure - Energy Strategy and Futures,IHS GLOBAL LTD T/A IHS JANES,4022800,"1,570.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/08/2011,IT Services (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4022803,"26,342.70"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/08/2011,IT Services (Programme),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4022803,880
Department of Energy and Climate Change,Department of Energy and Climate Change,03/07/2011,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4022806,"300,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/07/2011,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4022809,"7,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/07/2011,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4022809,"2,446.64"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/08/2011,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,QUINTESSA LTD,4022810,"10,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,Martin L Parry,4022811,"1,000.00"
