Figure: 4.1,,,,,,,,,,,,,,,,
Proportion of premises connected to ADSL-enabled and unbundled exchanges (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,UK,England,Scotland,Wales,N Ireland,,UK Urban,UK Rural,,,,,,,,
Non-LLU ADSL,99.98,100,99.86,100,100,,100,99.91,,,,,,,,
LLU ADSL,95,96,89,93,89,,100,77,,,,,,,,
,,,,,,,,,,,,,,,,
"Source: Ofcom / BT, December 2014 data",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Figure: 4.2,,,,,,,,,,,,,,,,
Proportion of premises able to receive Virgin Media cable broadband services (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,UK,England,Scotland,Wales,N Ireland,,UK Urban,UK Rural,,,,,,,,
Jun-15,44,47,36,21,27,,50,1,,,,,,,,
,,,,,,,,,,,,,,,,
"Source: Ofcom / Virgin Media, May 2015 data",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Figure 4.3,,,,,,,,,,,,,,,,
Proportion of premises able to receive BT Openreach/Kcom fibre broadband services (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Satisfaction with overall service and speed of fixed broadband connection,,,,,,,,,,,,,,,,
Proportion of users(%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Satisfaction with overall broadband service,,,,,Satisfaction with broadband speeds,,,,,,,,,,
,UK 2015,Wales 2015,Wales urban 2015,Wales rural 2015,,UK 2015,Wales 2015,Wales urban 2015,Wales rural 2015,,,,,,,
Very satisfied,45,36,36,37,,43,30,30,31,,,,,,,
Fairly satisfied,41,51,53,44,,38,49,52,36,,,,,,,
Total satisfaction,86,87,89,81,,80,79,82,67,,,,,,,
,,,,,,,,,,,,,,,,
"Source: Ofcom Technology Tracker, Wave 1 2015",,,,,,,,,,,,,,,,
"Base: Adults aged 16+ with a fixed broadband connection at home (n = 2781 UK, 380 Wales, 185 Wales urban, 195 Wales rural)",,,,,,,,,,,,,,,,
Note: Figures above chart columns indicate the proportion of people who were ‘very’ or ‘fairly’ satisfied with their speed of service while online,,,,,,,,,,,,,,,,
"QE8b. Thinking about your fixed broadband internet service, how satisfied are you with (main supplier) for the overall service/ for the speed of your service while online (not just the connection)?",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Figure 4.16,,,,,,,,,,,,,,,,
Satisfaction with reception of mobile service,,,,,,,,,,,,,,,,
Proportion of users(%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,UK 2015,Wales 2015,England 2015,Scotland 2015,N Ireland 2015,,Wales urban 2015,Wales rural 2015,,N Ireland 2008,Wales 2010,Wales 2011,Wales 2012,Wales 2013,Wales 2014,Wales 2015
Very satisfied,53,44,54,52,53,,45,40,,65,53,55,48,53,46,44
Fairly satisfied,33,43,32,35,33,,45,36,,27,34,32,41,33,39,43
Total satisfaction,86,87,86,88,85,,91,76,,93,87,87,89,86,85,87
,,,,,,,,,,,,,,,,
"Source: Ofcom Technology Tracker, Wave 1 2015",,,,,,,,,,,,,,,,
"Base: Adults aged 16+ who personally use a mobile phone (n = 3425 UK, 439 Wales, 2080 England, 450 Scotland, 456 Northern Ireland, 221 Wales urban, 218 Wales rural, 923 Wales 2010, 416 Wales 2011, 456 Wales 2012, 440 Wales 2013, 438 Wales 2014, 439 Wales 2015)",,,,,,,,,,,,,,,,
Note: Figures above chart columns indicate the proportion of people who were ‘very’ or ‘fairly’ satisfied with their mobile reception,,,,,,,,,,,,,,,,
"QD21c. Thinking about your mobile phone service only, how satisfied are you with (main supplier) for reception/ accessing network?",,,,,,,,,,,,,,,,
