Department family,Entity,Date,Expense type,Expense area,Supplier,Supplier Postcode,Transaction number,Amount
HMRC,HMRC,14/07/2011,Interpretation,Customer Contact,Thebigword Interpreting,LS12 6AB,5100031830,65352.8
HMRC,HMRC,14/07/2011,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,P06 4RP,5100031832,53504.6
HMRC,HMRC,14/07/2011,Interpretation,Customer Contact,Thebigword Interpreting,LS12 6AB,5100031855,36258.28
HMRC,HMRC,14/07/2011,Interpretation,Customer Contact,Thebigword Interpreting,LS12 6AB,5100031856,46950.05
HMRC,HMRC,14/07/2011,Ombudsman services,People Function,Right Corecare,PO15 7AL,5100031902,119224.27
HMRC,HMRC,14/07/2011,Govt dept services,Risk & Intelligence,Foreign and Commonwealth Office,MK10 1PX,5100031908,99831.58
HMRC,HMRC,14/07/2011,TNT Documented Servi,Commercial Directorate,TNT UK Limited,BL8 9AR,5100032110,829180.98
HMRC,HMRC,14/07/2011,Oth PFI unitary chrg,Estates & Support Services,Newcastle Estate Partnership,BA2 3RH,5100032112,3641819.04
HMRC,HMRC,15/07/2011,County Court Costs,Debt Management & Banking,RBSG Central,SE99 1AA,1900062300,34275
HMRC,HMRC,15/07/2011,County Court Costs,Debt Management & Banking,RBSG Central,SE99 1AA,1900062343,33100
HMRC,HMRC,15/07/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,P06 4RP,5100032103,25684.52
HMRC,HMRC,15/07/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,P06 4RP,5100032103,11580.1
HMRC,HMRC,15/07/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,P06 4RP,5100032103,411.65
HMRC,HMRC,15/07/2011,Marketing Promotion,Communications & Marketing,COI - COI Trading Fund/GNN,SE1 7DU,5100032129,36905.58
HMRC,HMRC,15/07/2011,Marketing Promotion,Communications & Marketing,COI - COI Trading Fund/GNN,SE1 7DU,5100032129,27.29
HMRC,HMRC,15/07/2011,Bank Charges CSH/CHQ,Finance & Internal Audit,Alliance and Leicester,G1R 0AA,5100032180,96255.35
HMRC,HMRC,15/07/2011,Bank Charges CSH/CHQ,Finance & Internal Audit,Alliance and Leicester,G1R 0AA,5100032181,42016.43
HMRC,HMRC,15/07/2011,Local delivery serv,Commercial Directorate,DX Network Services Ltd,NN3 6YG,5100032190,26707.06
HMRC,HMRC,18/07/2011,Forensic Services,Criminal Investigations,Forensic Science Service,B37 7YN,5100032270,65912.76
HMRC,HMRC,18/07/2011,Reference books,Local Compliance,Glass's Information Services Ltd,KT13 9TU,5100032335,56166.51
HMRC,HMRC,18/07/2011,Reference books,Local Compliance,Glass's Information Services Ltd,KT13 9TU,5100032335,1507.84
HMRC,HMRC,18/07/2011,Maintenance fees,Information Management Services,Accenture (UK) Limited,EC3M 3BD,5100032482,252698.89
HMRC,HMRC,18/07/2011,Gas,Estates & Support Services,Corona Energy,NW4 3RJ,5100032516,25197.79
HMRC,HMRC,18/07/2011,Landlord Charges,Estates & Support Services,Fasset Business & Property,PO9 1SA,5100032540,123170.41
HMRC,HMRC,19/07/2011,Crown Sol's Off NI,Debt Management & Banking,Crown Solicitors Office,BT1 3JY,5100032627,44554.4
HMRC,HMRC,19/07/2011,Affinity Data Centre,Information Management Services,DWP,FY5 3TA,5100033015,102149.21
HMRC,HMRC,19/07/2011,Affinity mgmt charge,Information Management Services,DWP,FY5 3TA,5100033015,24303.96
