Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,International Subscriptions,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,FOOD AND AGRICULTURE ORGANISATION OF THE UNITED NATIONS,4012605," £38,292 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,DELOITTE LLP,4012930," £76,364 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Economic Consultancy and Research,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4012583," £110,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Economic Consultancy and Research,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4012583," £100,904 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4012916," £276,909 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4012808," £7,615 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Car Hire and Leasing,Energy Markets & Infrastructure - Security and resilience,ARVAL (UK) LTD,4012936, £713 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Car Hire and Leasing,Energy Markets & Infrastructure - Security and resilience,ARVAL (UK) LTD,4012936, £698 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Other Accommodation Charges,DECC Central Budgets - DECC Central Budgets,APPLEYARDS CONSULTING,4012941," £1,959 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Maintenance of IT Equipment,National Climate Change & Consumer Support - National Climate Change,AMTEC Consulting plc,4012869," £45,465 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,AMTEC Consulting plc,4012868," £28,300 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012877," £59,850 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012881," £30,700 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012878," £23,110 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012878," £23,010 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012879," £21,518 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012876," £16,800 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012875," £12,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4012642, £927 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,ADECCO UK LTD,4012853, £504 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,"UNIVERSITY OF WALES, BANGOR",4012986," £15,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,"UNIVERSITY OF WALES, BANGOR",4012987," £8,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",TRANSITION TOWN TOTNES LTD,4012973," £100,582 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Publications,Energy Markets & Infrastructure - Energy Development Unit,SWEET NEWS,4012991," £1,613 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Furniture,Energy Markets & Infrastructure - EMI Director General,SENATOR INTERNATIONAL LTD,4012960," £1,149 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Other Printing and Stationery Costs,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",PROMOTIONAL LOGISTICS LTD,4012823," £7,289 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Other Printing and Stationery Costs,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",PROMOTIONAL LOGISTICS LTD,4012823," £5,563 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4012957," £254,739 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4012958," £18,350 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4012957," £5,139 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,NORTHERN IRELAND HOUSING EXECUTIVE,4012550," £100,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Project Management Costs (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,MACLAY MURRAY AND SPENS,4012963," £27,205 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",HUDSON GLOBAL RESOURCES LTD,4012873," £5,332 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",HUDSON GLOBAL RESOURCES LTD,4012873," £5,218 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4012951," £76,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4012950," £60,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4012954," £10,800 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Technical Advice,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,HARTLEY ANDERSON LTD,4012880," £135,374 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Technical Advice,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,HARTLEY ANDERSON LTD,4012880," £135,374 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FCO SERVICES,4012993," £4,037 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,EUROPEAN BANK OF RECONSTRUCTION AND DEVELOPMENT,4012952," £8,673,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,DUNDAS & WILSON LLP,4012980," £3,217 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,External Training,Energy Markets & Infrastructure - EMI Director General,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4012992, £925 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,External Legal Advice and Services,DECC Central Budgets - DECC Central Budgets,DEFRA,4012994, £534 
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Hire of Conference Facilities,Energy Markets & Infrastructure - EMI Director General,COMMONWEALTH CLUB LTD,4012989," £1,147 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4012293," £288,194 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4012293," £287,953 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4012293," £287,953 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Secondees (not paid directly),Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4012999," £14,332 "
Department of Energy and Climate Change,Department of Energy and Climate Change,14/04/2010,Secondees (not paid directly),Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4012997," £7,403 "
