Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Authoring and Copywriting Costs - Inward Investment Publications,Marketing & Communications - UK Trade and Investments,STRATTON CRAIG LTD,164258,275.00 ,,SE1 0BL,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Basic Grants - SESA Solo Support Scheme,Trade Development - UK Trade and Investments,PRISM LONDON LTD,164259,1000.00 ,,NW6 6NU,EXT,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Passport Development & Events,Trade Development - UK Trade and Investments,YECHENG MEDIA UK LTD,164260,500.00 ,,M50 2EQ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Event Management - Sector Events - UK,Trade Development - UK Trade and Investments,CLEARVIEW IMAGING SERVICES LTD,164261,1175.00 ,,E3 3JQ,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Scheme Management Charges - International Trade Team Contracting,Trade Development - UK Trade and Investments,EXEMPLAS TRADE SERVICES LTD,164262,2409.00 ,,AL7 3AX,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Scheme Management Charges - International Trade Team Contracting,Trade Development - UK Trade and Investments,EXEMPLAS TRADE SERVICES LTD,164262,264380.00 ,,AL7 3AX,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Design Services - Sector Events - UK,Trade Development - UK Trade and Investments,ACUMEN DESIGN CONSULTANCY LTD,164263,210.00 ,,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Event Management - Sector Events - UK,Trade Development - UK Trade and Investments,ADECCO UK LTD,164266,261.18 ,,B37 7YE,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),164269,0.02 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),164270,0.04 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Basic Grants - SESA Solo Support Scheme,Trade Development - UK Trade and Investments,IMAGINEER SYSTEMS LTD,164286,1000.00 ,,GU2 7YG,,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Basic Grants - SESA Solo Support Scheme,Trade Development - UK Trade and Investments,BLENDWORTH INTERNATIONAL LTD,164287,1000.00 ,,PO8 0AD,EXT,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/08/2012,Basic Grants - SESA Solo Support Scheme,Trade Development - UK Trade and Investments,JOINERYSOFT LTD,164288,1000.00 ,,OX7 5SR,EXT,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,MITOVIE LTD,163433,890.50 ,,TW19 5JQ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,MITOVIE LTD,163434,609.50 ,,TW19 5JQ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Event Management - Ministerial Events,Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163561,365.01 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Event Management - Ministerial Events,Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163567,296.69 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Media and Press Services - Marketing the Olympics,Marketing & Communications - UK Trade and Investments,INTELLIGENTMEDIA,164176,7000.00 ,,W4 3QE,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,OUTLOOK PUBLISHING (INDIA) PVT LTD,164205,2449.24 ,,110029,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Outsourced Technical Support - Trade Marketing Publication,Marketing & Communications - UK Trade and Investments,THE TEAM BRAND COMMUNICATION CONSULTANTS LTD,164243,4210.75 ,,SE1 9EQ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Outsourced Technical Support - Trade Marketing Publication,Marketing & Communications - UK Trade and Investments,THE TEAM BRAND COMMUNICATION CONSULTANTS LTD,164243,6156.75 ,,SE1 9EQ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Professional Subscriptions - Inward Investment Research,Investment Group - UK Trade and Investments,IMRG LTD,164255,5400.00 ,,WC2E 9BZ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Staff Consultants - Inward Investment Publicity,Chief Operating Officer - UK Trade and Investments,ADECCO UK LTD,164282,723.77 ,,B37 7YE,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Event Management - Sector Events - UK,Trade Development - UK Trade and Investments,ADECCO UK LTD,164290,581.47 ,,B37 7YE,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Scheme Management Charges - FDI Delivery Contract,Investment Group - UK Trade and Investments,AON HEWITT LTD,164291,5186.88 ,,KT18 5BS,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Event Management - Ministerial Events,Strategic Trade - UK Trade and Investments,MAGDALENE COLLEGE CAMBRIDGE,164292,2585.22 ,,CB3 0AG,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Event Management - Ministerial Events,Strategic Trade - UK Trade and Investments,Q C ENTERPRISES LTD,164295,2824.61 ,,CB3 9ET,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Event Management - Trade Marketing Events,Trade Development - UK Trade and Investments,SQUARE 5 BUSINESS NETWORKS LTD,164297,1764.60 ,,S1 2BJ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Event Management - Trade Marketing Events,Trade Development - UK Trade and Investments,SQUARE 5 BUSINESS NETWORKS LTD,164297,2661.13 ,,S1 2BJ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Event Management - Trade Marketing Events,Trade Development - UK Trade and Investments,SQUARE 5 BUSINESS NETWORKS LTD,164297,2841.63 ,,S1 2BJ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Event Management - Trade Marketing Events,Trade Development - UK Trade and Investments,SQUARE 5 BUSINESS NETWORKS LTD,164297,3091.00 ,,S1 2BJ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Event Management - Trade Marketing Events,Trade Development - UK Trade and Investments,SQUARE 5 BUSINESS NETWORKS LTD,164297,3678.63 ,,S1 2BJ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Scheme Management Charges - FDI Delivery Contract,Investment Group - UK Trade and Investments,PA CONSULTING GROUP LTD,164299,994330.91 ,,SG8 6DP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Scheme Management Charges - FDI Delivery Contract,Investment Group - UK Trade and Investments,PA CONSULTING GROUP LTD,164300,213370.61 ,,SG8 6DP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Scheme Management Charges - FDI Delivery Contract,Investment Group - UK Trade and Investments,PA CONSULTING GROUP LTD,164301,69590.05 ,,SG8 6DP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Scheme Management Charges - FDI Delivery Contract,Investment Group - UK Trade and Investments,PA CONSULTING GROUP LTD,164302,43321.49 ,,SG8 6DP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Scheme Management Charges - FDI Delivery Contract,Investment Group - UK Trade and Investments,PA CONSULTING GROUP LTD,164303,7993.00 ,,SG8 6DP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Scheme Management Charges - FDI Delivery Contract,Investment Group - UK Trade and Investments,PA CONSULTING GROUP LTD,164304,17830.00 ,,SG8 6DP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Scheme Management Charges - FDI Delivery Contract,Investment Group - UK Trade and Investments,PA CONSULTING GROUP LTD,164305,33913.05 ,,SG8 6DP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Equipment Hire - Inward Investment Events,Investment Group - UK Trade and Investments,THOMAS TELFORD LTD T/A ONE GREAT GEORGE STREET,164306,455.00 ,,E14 9TP,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Conference and seminar fees - Inward Investment Events,Investment Group - UK Trade and Investments,RENEWABLE UK ASSOCIATION T/A RENEWABLE UK,164307,3792.00 ,,SW1P 1DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Scheme Management Charges - Trade Development Support,Strategic Trade - UK Trade and Investments,LEO G FAULKNER,164309,208.12 ,,GU10 1PU,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Scheme Management Charges - International Trade Team Contracting,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,164312,15000.00 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Scheme Management Charges - International Trade Team Contracting,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,164312,157457.30 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Research and Development Costs - Performance Measurement,Chief Operating Officer - UK Trade and Investments,OMB RESEARCH LTD,164315,37485.00 ,,ME19 6DZ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Basic Grants - SESA Solo Support Scheme,Trade Development - UK Trade and Investments,MILLAMIA LTD,164319,1000.00 ,,SW5 0AQ,SME,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Entertainment UK - Inward Investment Events,Investment Group - UK Trade and Investments,"Personal Expense, Name Witheld",505373,76.34 ,,SW1H 0ET,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/08/2012,Printing Costs - Inward Investment Publications,Investment Group - UK Trade and Investments,"Personal Expense, Name Witheld",505373,397.01 ,,SW1H 0ET,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,SENTINEL SYSTEMS LTD,164235,1000.00 ,,GL7 6BA,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,ROKKA PLAY LTD,164236,306.75 ,,PL12 6RQ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,MIISTA LTD,164238,611.00 ,,E9 7SN,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,CENTRE FOR MANAGEMENT EXCELLENCE UK LTD,164240,374.63 ,,RM10 9YN,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,ASTEC IT SOLUTIONS LTD,164242,1000.00 ,,WS15 1UZ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,AIR QUALITY RESEARCH LTD,164264,627.85 ,,WA4 4FS,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,CABLE TAPES (UK) LTD,164267,1000.00 ,,M7 4FE,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,HARRIS & HOWARD BESPOKE LTD,164268,765.09 ,,SK9 7EJ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,REMODE LTD,164281,1000.00 ,,PL1 3GE,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,MOTIVATION DIRECT LTD,164283,854.50 ,,BS48 4AQ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,SEMA LTD,164284,1000.00 ,,DN2 4SQ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,SYSTEMS TECHNOLOGY CONSULTANTS LTD (SYTECH),164285,130.12 ,,ST1 4PZ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,SYSTEMS TECHNOLOGY CONSULTANTS LTD (SYTECH),164285,851.79 ,,ST1 4PZ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Telecommunications - Sector Events - UK,Trade Development - UK Trade and Investments,VODAFONE LTD,164298,8.82 ,,RG14 5FF,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Authoring and Copywriting Costs - Trade Marketing Publicity,Marketing & Communications - UK Trade and Investments,WHITEHOUSE MAINWARING DESIGN CONSULTANTS LTD,164324,1200.00 ,,B1 3EA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Basic Grants - SESA Solo Support Scheme,Trade Development - UK Trade and Investments,RBDM LTD T/A ROKSANDA ILINCIC,164454,1000.00 ,,N1 5QJ,EXT,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Speakers fees - Passport Development & Events,Trade Development - UK Trade and Investments,ENTERPRISE GROWTH SOLUTIONS LTD,164455,481.00 ,,AL7 3AX,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Speakers fees - Passport Development & Events,Trade Development - UK Trade and Investments,ENTERPRISE GROWTH SOLUTIONS LTD,164455,600.00 ,,AL7 3AX,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Training - General - Passport Development & Events,Trade Development - UK Trade and Investments,ENTERPRISE GROWTH SOLUTIONS LTD,164455,952.00 ,,AL7 3AX,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Venue Hire - Passport Development & Events,Trade Development - UK Trade and Investments,ENTERPRISE GROWTH SOLUTIONS LTD,164455,1000.00 ,,AL7 3AX,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Scheme Management Charges - International Trade Team Contracting,Trade Development - UK Trade and Investments,ENTERPRISE GROWTH SOLUTIONS LTD,164455,185085.00 ,,AL7 3AX,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Event Management - Sector Events - UK,Trade Development - UK Trade and Investments,TWISTEDTREE LTD,164457,6600.00 ,,NW11 8EL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Video Production Services - UKTI Corporate Marketing,Marketing & Communications - UK Trade and Investments,MICK RAWSON,164458,1900.00 ,,SE9 1PD,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,IT Managed Service Contracts - UKTI Web Services - Hosting and Support,Chief Operating Officer - UK Trade and Investments,FUJITSU SERVICES LTD,164459,34943.07 ,,WA3 9BD,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/08/2012,Video Production Services - UKTI Corporate Marketing,Marketing & Communications - UK Trade and Investments,MICK RAWSON,164460,380.00 ,,SE9 1PD,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
