Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/01/2015,Mobile Call Charges-INUK Corporate Identity,Investment Development - Strategic Relationship Management,VODAFONE LTD,74611,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/01/2015,Mobile Phones-Trade Development Support,Trade Group - Partnerships & Business,VODAFONE LTD,74614,4.87,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,28/01/2015,Mobile Line Rental-UKTI Programme Admin,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",VODAFONE LTD,74619,4.80,,MK3 5JP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,BRANDWAVE MARKETING LTD,74636,3000.00,,PO20 8RL,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Hotel & Accommodation Overseas-Healthcare UK,Trade Group - Healthcare UK,MARRIOTT HOTEL AL JADDAF DUBAI,74672,857.56,,122273,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Hotel & Accommodation Overseas-Healthcare UK,Trade Group - Healthcare UK,MARRIOTT HOTEL AL JADDAF DUBAI,74672,13156.16,,122273,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,74716,7.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,74716,66.43,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,74717,6.75,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,74717,36.00,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,74719,6.18,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,74719,134.85,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,74731,18.51,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,74731,28.29,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,74737,12.60,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,74737,17.79,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,74742,74.24,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Telecoms-Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,74742,288.93,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,COMPOSIDE LTD,74766,3000.00,,SO53 3LG,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,GIL-LEC LTD,74767,3000.00,,HP5 1JH,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,KEITH NEWS LTD,74768,1127.69,,SO21 3DN,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,EXCEEDRA SOFTWARE LTD,74769,3000.00,,SY2 6LG,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,GLOBAL HYDRAULICS & ENGINEERING LTD,74770,597.66,,CV2 5DB,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,TETRONICS INTERNATIONAL LTD,74771,565.00,,SN3 4DE,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - Consumer and Retail,CAPITA BUSINESS SERVICES LTD,74805,1363.82,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - Consumer and Retail,CAPITA BUSINESS SERVICES LTD,74812,1704.78,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA BUSINESS SERVICES LTD,74813,1427.80,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Hire of Agency Staff-Great Campaign Events,Marketing & Communications - Communications,CAPITA RESOURCING LTD,74814,1707.78,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - Consumer and Retail,CAPITA BUSINESS SERVICES LTD,74815,13421.52,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Hire of Agency Staff-ASEAN Business Council,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",CAPITA BUSINESS SERVICES LTD,74821,1188.45,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Hire of Agency Staff-Great Campaign Events,Marketing & Communications - Communications,CAPITA BUSINESS SERVICES LTD,74822,4239.65,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA RESOURCING LTD,74827,1797.60,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Hire of Agency Staff-Great Campaign Events,Marketing & Communications - Communications,CAPITA RESOURCING LTD,74840,1086.78,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA RESOURCING LTD,74844,1797.60,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA BUSINESS SERVICES LTD,74847,4532.28,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/01/2015,Hire of Agency Staff-Trade Marketing Events,Trade Group - Service Delivery,BROOK STREET (UK) LTD,74890,308.88,,AL1 4ZX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Hire of Agency Staff-Business Opportunities,Trade Group - Service Delivery,BROOK STREET (UK) LTD,74892,514.08,,AL1 4ZX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/01/2015,IT Software Licences and Software Maintenance-Online,Marketing & Communications - Communications,EXPERIAN LTD,74899,1500.00,,NG80 1ZZ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/01/2015,Hire of Agency Staff-Trade Development Support,Trade Group - Partnerships & Business,BROOK STREET (UK) LTD,74901,339.98,,AL1 4JB,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/01/2015,Uncapitalised construction costs-Sector Events - Abroad,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",STAGE ONE CREATIVE SERVICES LTD,74904,415235.22,,YO26 7QF,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Publications-Other Programme Costs,Trade Group - Construction,JONES YARRELL LEADENHALL,74909,39.27,,E3 3JG,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Publications-Other Programme Costs,Trade Group - Creative Industries & Global Sporting Projects,JONES YARRELL LEADENHALL,74910,14.04,,E3 3JG,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Publications-UKTI Programme Admin,Chief Operating Officer - IT and Finance,JONES YARRELL LEADENHALL,74930,39.52,,E3 3JG,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Additions - Cost - Software Licences-Attracting Global Entrepreneurs,"Investment Development - Managing Director & Operations, Investment Development",BLUE SKY HOSTING LTD,74949,36.00,,SW1E 6DX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/01/2015,Current Grants To Private Sector - NPISH-Trade Show Access Programme,Trade Group - Partnerships & Business,THE PUBLISHERS ASSOCIATION,74963,12000.00,,WC1B 5BW,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,ALFIESOFT LTD,74967,732.36,,SS4 1BB,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,MYRIDIUM ACTIVE LTD,74968,749.66,,IG8 0PS,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,MGP LTD,74969,3000.00,,HP4 1AB,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,15/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,STANLEY BUTCHER AND SONS LTD T/A SOLENT PLASTICS,74970,2000.00,,SO51 0HR,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,3P LIFE + SOUL,74972,996.22,,TS12 1BW,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/01/2015,Clearing - Cost - Assets Under Construction - Internally Developed Software-Default,Chief Operating Officer - IT and Finance,VODAFONE LTD,74976,17881.46,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Hire of Conference Facilities-Healthcare UK,Trade Group - Healthcare UK,MARRIOTT HOTEL AL JADDAF DUBAI,74977,824.16,,122273,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/01/2015,Other Travel-Mid-Sized Business ITAs,Trade Group - Service Delivery,RUSSELL BUSINESS SERVICES LTD,74978,174.23,,BD16 3PF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/01/2015,Other Professional Services-Mid-Sized Business ITAs,Trade Group - Service Delivery,RUSSELL BUSINESS SERVICES LTD,74978,4480.00,,BD16 3PF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/01/2015,Other Travel-Mid-Sized Business ITAs,Trade Group - Service Delivery,SGB ASSOCIATES,74986,283.14,,S66 8PH,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/01/2015,Other Professional Services-Mid-Sized Business ITAs,Trade Group - Service Delivery,SGB ASSOCIATES,74986,4875.00,,S66 8PH,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/01/2015,Catering Services-Trade Marketing Events,Trade Group - Service Delivery,NEWCASTLE CITY COUNCIL,75035,65.50,,NE1 8PB,WGA ONLY,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/01/2015,Receipt of Fees and Charges-Overseas Market Introduction Service,Trade Group - Service Delivery,RBC (ROYAL BANK OF CANADA) CAPITAL MARKETS UK,75051,1560.00,,EC4R 3BF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,ESPINER MEDICAL LTD,75061,2550.00,,BS21 6TH,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,EGGINTON BROS LTD,75062,1375.00,,S3 7AW,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/01/2015,Static Line Rental-UKTI Programme Admin,Chief Operating Officer - IT and Finance,BRITISH TELECOMMUNICATIONS plc (BT),75068,59.87,,DH98 1BT,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,14/01/2015,Printing-Great Campaign Events,Marketing & Communications - Communications,WILLIAMS LEA LTD,75070,202.36,,EC1M 4NA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/01/2015,Conference and Exhibition Services-Trade Marketing Events,Defence and Security Organisation - Business Development,ADS GROUP LTD,75071,3312.00,,GU14 6FD,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/01/2015,Office-related Expenditure-Support to Campaigns,Defence and Security Organisation - Cyber Security Team,WILLIAMS LEA LTD,75072,225.23,,EC1M 4NA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/01/2015,Corporate Event Management and Marketing-Support to Campaigns,Defence and Security Organisation - Cyber Security Team,WILLIAMS LEA LTD,75074,92.40,,EC1M 4NA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/01/2015,Outsourced Technical Support-Business Opportunities,Trade Group - Service Delivery,VODAFONE LTD,75075,13156.88,,MK3 5JP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,14/01/2015,Printing-Inward Investment Publicity,Marketing & Communications - Communications,WILLIAMS LEA LTD,75076,536.36,,EC1M 4NA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,14/01/2015,Marketing - Design Services-Trade Marketing Publication,Defence and Security Organisation - Business Development,WILLIAMS LEA LTD,75077,5422.73,,EC1M 4NA,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/01/2015,ICT Outsourcing & Maintenance/Support-UKTI Programme Admin,Chief Operating Officer - IT and Finance,CORE TECHNOLOGY SYSTEMS (UK) LTD,75081,5854.00,,E1 8DE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/01/2015,ICT Outsourcing & Maintenance/Support-UKTI Programme Admin,Chief Operating Officer - IT and Finance,CORE TECHNOLOGY SYSTEMS (UK) LTD,75081,11039.20,,E1 8DE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/01/2015,ICT Outsourcing & Maintenance/Support-UKTI Programme Admin,Chief Operating Officer - IT and Finance,CORE TECHNOLOGY SYSTEMS (UK) LTD,75083,721.00,,E1 8DE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/01/2015,ICT Outsourcing & Maintenance/Support-UKTI Programme Admin,Chief Operating Officer - IT and Finance,CORE TECHNOLOGY SYSTEMS (UK) LTD,75084,721.00,,E1 8DE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
