Entity,GL Date,Merchant name,Amount,Description
EA,15/04/2016,SAFETY-KLEEN UK LTD,753,Safe disposal of contaminated oil rags from Bradney depot following incident clear up
EA,15/04/2016,A.T.F SUPPLIES,815.4,Post and rail fence to replace old fencing protecting a flood bank at the  Flood Alleviation Scheme in Christchurch Dorset.
EA,15/04/2016,JEWSON,2105.21,"Bricks, sand and cement for the construction of a safety wall at the gauging station site at East Mills, Fordingbridge, Hampshire."
EA,15/04/2016,WORLD OF TRAVEL,524.62,One day hire of venue in Birmingham with lunch for Decommissioning and Clean Up project team meeting
EA,15/04/2016,WWW.WILDSEED.CO.UK,2042.77,35kg of wild flower meadow seeds for restoration of working area at Tewkesbury nature reserve.
EA,15/04/2016,STANTON HOPE LTD,651.12,"Three 72” drag rakes,3 forks, 2 RTS harnesses, 4 Husqvarna chainsaw helmets and 2 boxes of 20 shots of Stihl two stroke mixing oil"
EA,15/04/2016,PRIORY ROOMS (BULL STR,576,One day meeting room hire including lunch and refreshments for 20 people attending a quarterly meeting of Lead Local Flood Authority Network 
EA,15/04/2016,WWW.BBOFFICESUPPLIES.C,650.7,Ergonomic chair for member of staff following work based health assessment.
EA,15/04/2016,MARY WARD HOUSE LTD,1600.56,"One day room hire for thirty people, including lunch, refreshments and equipment, for an external meeting with water companies regarding price review."
EA,15/04/2016,CIWEMSERVIC,504,Chartered Institute of Water and Environment Management Annual Conference Fee for one person
EA,15/04/2016,DORMAR PRODUCTS,561.6,One tonne of rock salt
