Dept family,Entity,Date Paid,Expense Type,Expense Area,Supplier,Trans no.,Amount exc VAT
Communities and Local Government,Homes and Communities Agency,12/08/2010,DISPOSAL FEES-LEGAL,PLACE MAKING,HEWITSONS SOLICITORS,299646,50
Communities and Local Government,Homes and Communities Agency,12/08/2010,DISPOSAL FEES-LEGAL,PLACE MAKING,HEWITSONS SOLICITORS,301849,-50
Communities and Local Government,Homes and Communities Agency,12/08/2010,DISPOSAL FEES-LEGAL,PLACE MAKING,FORSHAWS DAVIES RIDGWAY LLP,301079,50
Communities and Local Government,Homes and Communities Agency,12/08/2010,LEGAL FEES,EAST OF ENGLAND,NABARRO NATHANSON,301642,53
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,SOUTH EAST,GROSVENOR TRAVEL MANAGEMENT,302511,53.9
Communities and Local Government,Homes and Communities Agency,05/08/2010,GROUNDS MAINTENANCE GENERAL,NORTH EAST,SHS LTD,298871,55
Communities and Local Government,Homes and Communities Agency,26/08/2010,GROUNDS MAINTENANCE GENERAL,LONDON,QUAYSTONE CONSTRUCTION LIMITED,302577,55
Communities and Local Government,Homes and Communities Agency,19/08/2010,LEGAL FEES,NORTH EAST,EVERSHEDS LLP,302466,57.2
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL FEES-LEGAL,MILTON KEYNES PARTNERSHIP,DENTON WILDE SAPTE,301877,58
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAR LEASING - OTHER COSTS,EAST MIDLANDS,ADR BODYSHOP,47870,58.5
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,60.15
Communities and Local Government,Homes and Communities Agency,19/08/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,CONTINENTAL LANDSCAPES - GREENHAND,302186,63
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,66.97
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,67.2
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,67.2
