Dept family,Entity,Date Paid,Expense Type,Expense Area,Supplier,Trans no.,Amount exc VAT
Communities and Local Government,Homes and Communities Agency,12/08/2010,LEGAL FEES,FINANCE & CORPORATE SERVICES,PINSENT MASONS,301691,5013.2
Communities and Local Government,Homes and Communities Agency,19/08/2010,BUILDINGS-ELECTRICITY,PLACE MAKING,TEES ALLIANCE GROUP LTD,302148,5022.32
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,MILTON KEYNES PARTNERSHIP,RPS GROUP PLC,302526,5024.15
Communities and Local Government,Homes and Communities Agency,26/08/2010,MEDIA/PUBLIC  RELATIONS FEES,FINANCE & CORPORATE SERVICES,KANTAR MEDIA INTELLIGENCE LTD,303131,5048.75
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,302434,5064.67
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,LONDON,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,5076.65
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,LONDON,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,5076.65
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,302435,5111.73
Communities and Local Government,Homes and Communities Agency,05/08/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,COMPLETE GROUND MANAGEMENT LTD,300326,5148.75
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,LONDON,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,5183.54
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,LONDON,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,5204.24
Communities and Local Government,Homes and Communities Agency,12/08/2010,PANEL FEES-PROPERTY SERVICES,EAST MIDLANDS,GVA GRIMLEY,294137,5251.5
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,301654,5265
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,SOUTH EAST,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,5274.48
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,EAST MIDLANDS,TROWERS AND HAMLINS,301871,5398.86
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,301398,5400
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,301648,-5400
Communities and Local Government,Homes and Communities Agency,12/08/2010,PANEL FEES-PROPERTY SERVICES,EAST OF ENGLAND,TURNER & TOWNSEND,300848,5414.7
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,PLACE MAKING,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,5444.57
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,PLACE MAKING,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,5444.57
Communities and Local Government,Homes and Communities Agency,12/08/2010,CAP GRNTS TO LOCAL AUTHORITIES,NORTH WEST,HALTON BOROUGH COUNCIL,301388,5485
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,EXECUTIVE OFFICE,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,5498.06
Communities and Local Government,Homes and Communities Agency,12/08/2010,PANEL FEES-DEVELOPMENT MGNT,SOUTH WEST,VICKERY HOLMAN PROPERTY CONSULTANTS,301085,5500
Communities and Local Government,Homes and Communities Agency,26/08/2010,I.T. CONSULTANTS FEES,PLACE MAKING,AMTEC CONSULTING PLC,303205,5500
Communities and Local Government,Homes and Communities Agency,26/08/2010,GAS,EAST OF ENGLAND,HARLOW  & DISTRICT SPORTS TRUST,302241,5508
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,302423,5559.43
Communities and Local Government,Homes and Communities Agency,05/08/2010,MAIN CONTRACT 1,NORTH EAST,BALFOUR BEATTY CIVIL ENGINEERING LIMITED,300320,5560.73
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,GROWTH & AFFORDABILITY,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,5642.76
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,5697.02
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,GROWTH & AFFORDABILITY,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,5721.76
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDINGS-VACANT RATES,LONDON,LONDON BOROUGH OF BARKING & DAGENHAM,302570,5724
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,EAST OF ENGLAND,TROWERS AND HAMLINS,303016,5740
Communities and Local Government,Homes and Communities Agency,05/08/2010,CAP GRNTS TO LOCAL AUTHORITIES,LONDON,GREENWICH COUNCIL,300452,5757.61
Communities and Local Government,Homes and Communities Agency,05/08/2010,GROUNDS MAINTENANCE GENERAL,LONDON,W. A. FAIRHURST & PARTNERS,300447,5763.07
Communities and Local Government,Homes and Communities Agency,12/08/2010,GROUNDS MAINTENANCE GENERAL,LONDON,W. A. FAIRHURST & PARTNERS,301670,5763.07
Communities and Local Government,Homes and Communities Agency,19/08/2010,MISC PROFESSIONAL FEES,PLACE MAKING,BATH & NORTH EAST SOMERSET COUNCIL,283302,5796
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,PLACE MAKING,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,5799
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,PLACE MAKING,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,5804
Communities and Local Government,Homes and Communities Agency,04/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,ORBIT HOUSING GROUP LTD,50199,5809
Communities and Local Government,Homes and Communities Agency,26/08/2010,MAIN CONTRACT 1,EAST MIDLANDS,LODGE PARK CONSTRUCTION LTD,301573,5810.98
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,5838.74
Communities and Local Government,Homes and Communities Agency,12/08/2010,APPLICATIONS SUPPORT,FINANCE & CORPORATE SERVICES,VECTOR RESOURCING LTD,301457,5850
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,LONDON,AMICUS GROUP LIMITED,52198,5850
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,LONDON,AMICUS GROUP LIMITED,52201,5850
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,LONDON,AMICUS GROUP LIMITED,52202,5850
Communities and Local Government,Homes and Communities Agency,19/08/2010,FEES,FINANCE & CORPORATE SERVICES,THE PENSIONS REGULATOR,300296,5865.88
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,MILTON KEYNES PARTNERSHIP,GEOFFREY LEAVER SOLICITORS,302950,5902.5
Communities and Local Government,Homes and Communities Agency,26/08/2010,DISPOSAL FEES-ENGINEERING,PLACE MAKING,ATKINS LTD,302292,5928.13
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,NORTH WEST,REDROW,52301,5930
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,GROWTH & AFFORDABILITY,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,5945.52
Communities and Local Government,Homes and Communities Agency,12/08/2010,MISC PROFESSIONAL FEES,PLACE MAKING,SAVILLS (L&P) LIMITED,300840,5965.57
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,5969.05
Communities and Local Government,Homes and Communities Agency,12/08/2010,HOMEBUY AGENTS FEES,NORTH WEST,PLUMLIFE,301600,6000
Communities and Local Government,Homes and Communities Agency,12/08/2010,PANEL FEES PROPERTY SERVICES,EAST MIDLANDS,DRIVERS JONAS DELOITTE,300278,6000
Communities and Local Government,Homes and Communities Agency,12/08/2010,PANEL FEES PROPERTY SERVICES,EAST MIDLANDS,DRIVERS JONAS DELOITTE,300278,6000
Communities and Local Government,Homes and Communities Agency,12/08/2010,PANEL FEES PROPERTY SERVICES,SOUTH WEST,GVA GRIMLEY,301137,6000
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,NORTH WEST,TROWERS AND HAMLINS,302547,6000
Communities and Local Government,Homes and Communities Agency,26/08/2010,PANEL FEES PROPERTY SERVICES,SOUTH WEST,GVA GRIMLEY,301835,6000
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,NORTH EAST,BERWIN LEIGHTON PAISNER,302989,6004.29
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,EXECUTIVE OFFICE,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,6009.34
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,GROWTH & AFFORDABILITY,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,6053.5
Communities and Local Government,Homes and Communities Agency,05/08/2010,GROUNDS MAINTENANCE GENERAL,SOUTH EAST,FOUNTAINS PLC,301095,6078.99
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL FEES-LEGAL,PLACE MAKING,PINSENT MASONS,302187,6095.4
Communities and Local Government,Homes and Communities Agency,05/08/2010,SERVICE CHARGES,FINANCE & CORPORATE SERVICES,LEICESTER CITY COUNCIL,300370,6145.68
Communities and Local Government,Homes and Communities Agency,26/08/2010,DISPOSAL FEES-ENGINEERING,WEST MIDLANDS,ENTEC UK LIMITED,302874,6150
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,PLACE MAKING,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,6172.96
Communities and Local Government,Homes and Communities Agency,25/08/2010,CAP GRNTS TO LOCAL AUTHORITIES,PLACE MAKING,RENAISSANCE SOUTHEND LTD,2732,6197
Communities and Local Government,Homes and Communities Agency,17/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,WESTBURY PARTNERSHIPS - PROJECTS,51003,6199
Communities and Local Government,Homes and Communities Agency,17/08/2010,CAPITAL GRANTS TO RSLS,EAST OF ENGLAND,WESTBURY PARTNERSHIPS - PROJECTS,50999,6236
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,FINANCE & CORPORATE SERVICES,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,6237.02
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,FINANCE & CORPORATE SERVICES,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,6237.02
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,FINANCE & CORPORATE SERVICES,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,6237.35
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,PLACE MAKING,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,6295.01
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,PLACE MAKING,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,6295.01
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,6323.42
Communities and Local Government,Homes and Communities Agency,12/08/2010,CIS LIABILITY,FINANCE & CORPORATE SERVICES,INLAND REVENUE,301477,6356.82
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,FINANCE & CORPORATE SERVICES,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,6445.25
Communities and Local Government,Homes and Communities Agency,10/08/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,BELLWAY PLC,50539,6450
Communities and Local Government,Homes and Communities Agency,31/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,WATES LIVING SPACE,52288,6468
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,301398,6475
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,301648,-6475
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,PLACE MAKING,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,6501.01
Communities and Local Government,Homes and Communities Agency,26/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,RPS GROUP PLC,302437,6519.1
Communities and Local Government,Homes and Communities Agency,12/08/2010,INTERNAL BUILDING MAINTENANCE,PLACE MAKING,DESIGN & WIRE ELECTRICAL CONTRACTORS LTD,301646,-6530
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECURITY,SOUTH EAST,MJF CORPORATE GUARDING LTD,301437,6581.76
Communities and Local Government,Homes and Communities Agency,19/08/2010,BUILDINGS-VACANT RATES,PLACE MAKING,LIVERPOOL CITY COUNCIL,298852,6584.25
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE MAINT-FUTURE CRA DIS,EAST MIDLANDS,FROSTS LANDSCAPE CONSTRUICTION LIMITED,300327,6614.46
Communities and Local Government,Homes and Communities Agency,19/08/2010,APPLICATIONS DEVELOPMENT,FINANCE & CORPORATE SERVICES,CHAPTER26 LIMITED,302212,6622.69
Communities and Local Government,Homes and Communities Agency,10/08/2010,CAPITAL GRANTS TO RSLS,SOUTH WEST,GALLIFORD TRY PLC,50542,6632
Communities and Local Government,Homes and Communities Agency,12/08/2010,SECURITY,FINANCE & CORPORATE SERVICES,LEGION GROUP PLC,301100,6639.4
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,WEST MIDLANDS,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,6643.28
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,WEST MIDLANDS,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,6643.28
Communities and Local Government,Homes and Communities Agency,12/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,CRYSTAL UMBRELLA,301042,6660.95
Communities and Local Government,Homes and Communities Agency,17/08/2010,CAPITAL GRANTS TO RSLS,SOUTH EAST,BARRATT DEVELOPMENTS PLC,51015,6740
Communities and Local Government,Homes and Communities Agency,26/08/2010,ENGINEERING CONSULTANTS,PLACE MAKING,ARUP,302565,6787.78
Communities and Local Government,Homes and Communities Agency,26/08/2010,DISPOSAL OF DEVELOPMENT ASSETS,EAST OF ENGLAND,DENTON WILDE SAPTE,302596,6815.5
Communities and Local Government,Homes and Communities Agency,26/08/2010,DISPOSAL OF DEVELOPMENT ASSETS,EAST OF ENGLAND,DENTON WILDE SAPTE,302596,-6815.5
Communities and Local Government,Homes and Communities Agency,26/08/2010,AGENCY STAFF,FINANCE & CORPORATE SERVICES,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,303204,6846.85
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,SOUTH EAST,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,6864.55
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,SOUTH EAST,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302602,6889.97
Communities and Local Government,Homes and Communities Agency,26/08/2010,CONTRIBUTIONS FROM PARTNERS,MILTON KEYNES PARTNERSHIP,ARRIVA THE SHIRES & ESSEX,301532,6962.6
Communities and Local Government,Homes and Communities Agency,26/08/2010,ENGINEERING CONSULTANTS,NORTH EAST,AECOM LIMITED,302327,6969.88
Communities and Local Government,Homes and Communities Agency,12/08/2010,PANEL FEES PROPERTY SERVICES,EAST MIDLANDS,SAVILLS (L&P) LIMITED,291017,7000
Communities and Local Government,Homes and Communities Agency,12/08/2010,PANEL FEES PROPERTY SERVICES,EAST MIDLANDS,SAVILLS (L&P) LIMITED,291017,7000
Communities and Local Government,Homes and Communities Agency,12/08/2010,PANEL FEES PROPERTY SERVICES,EAST MIDLANDS,SAVILLS (L&P) LIMITED,291017,7000
Communities and Local Government,Homes and Communities Agency,12/08/2010,PANEL FEES PROPERTY SERVICES,EAST MIDLANDS,SAVILLS (L&P) LIMITED,291017,7000
Communities and Local Government,Homes and Communities Agency,12/08/2010,PANEL FEES PROPERTY SERVICES,EAST MIDLANDS,SAVILLS (L&P) LIMITED,291017,7000
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,SANCTUARY HOUSING ASSOCIATION,51162,7000
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,SANCTUARY HOUSING ASSOCIATION,51163,7000
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,SANCTUARY HOUSING ASSOCIATION,51164,7000
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,SANCTUARY HOUSING ASSOCIATION,51165,7000
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,SANCTUARY HOUSING ASSOCIATION,51166,7000
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,SANCTUARY HOUSING ASSOCIATION,51167,7000
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,SANCTUARY HOUSING ASSOCIATION,51168,7000
Communities and Local Government,Homes and Communities Agency,19/08/2010,CAPITAL GRANTS TO RSLS,WEST MIDLANDS,SANCTUARY HOUSING ASSOCIATION,51169,7000
Communities and Local Government,Homes and Communities Agency,26/08/2010,1ST PT COST/FEE INC UNINS LOSS,FINANCE & CORPORATE SERVICES,WILLIS LIMITED,303213,7000
Communities and Local Government,Homes and Communities Agency,26/08/2010,LEGAL FEES,EAST MIDLANDS,TROWERS AND HAMLINS,302385,7000
Communities and Local Government,Homes and Communities Agency,12/08/2010,SECURITY,FINANCE & CORPORATE SERVICES,LEGION GROUP PLC,301099,7016.29
Communities and Local Government,Homes and Communities Agency,26/08/2010,DIRECTOR DEVELOPMENT,FINANCE & CORPORATE SERVICES,JOHN LANGFORD CONSULTING LTD,301104,7102.6
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE MAINT-FUTURE CRA DIS,PLACE MAKING,SONES LANDSCAPES,300958,7105.76
Communities and Local Government,Homes and Communities Agency,19/08/2010,PLANNING,LONDON,GVA GRIMLEY,300893,7125
Communities and Local Government,Homes and Communities Agency,05/08/2010,SITE SUPERVISION,NORTH EAST,AECOM LIMITED,300249,7140.75
Communities and Local Government,Homes and Communities Agency,12/08/2010,MINOR CONTRACT,MILTON KEYNES PARTNERSHIP,GAVIN JONES (MIDLANDS) LTD,300921,7167.03
