?BODY NAME,SERVICE LABEL COMMITTEE,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER ID
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,GAS,17/10/2014,254842,484.82,CORONA ENERGY,100113
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255275,8077.76,CRESTRA LTD,101824
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255273,1211.33,CRESTRA LTD,101824
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,31/10/2014,255477,538.98,CROSSROADS TRUCK & BUS LTD,101347
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G995,TELEPHONES,10/10/2014,254585,766.37,DAISY COMMUNICATIONS LTD,100847
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,03/10/2014,254268,2121.00,DAVID P FORMON B.D.C LTD,100122
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,17/10/2014,254787,1957.52,DENNIS EAGLE LTD,100797
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,24/10/2014,255095,1479.07,DENNIS EAGLE LTD,100797
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,24/10/2014,255178,899.81,DENNIS EAGLE LTD,100797
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,17/10/2014,254514,494.29,DENNIS EAGLE LTD,100797
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,07/11/2014,255155,5250.00,DEREK BLOCK ARTISTES AGENCY LTD,100124
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,REPAIRS AND MAINTENANCE,03/10/2014,254267,1784.00,E C HEATING SERVICES,102110
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,ELECTRICITY,10/10/2014,254553,6144.82,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ELECTRICITY,10/10/2014,254557,4165.56,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,ELECTRICITY,10/10/2014,254555,2575.83,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ELECTRICITY,10/10/2014,254554,1725.43,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ELECTRICITY,10/10/2014,254556,982.13,EDF ENERGY 1 LTD,101140
