"OA11CD","LAD11NM","PM252013me"
"E00023445","Westminster",16.655933616275
"E00023442","Westminster",16.575597957029
"E00023440","Westminster",16.472039041065
"E00023448","Westminster",16.504810571671
"E00023449","Westminster",16.949678279735
"E00023636","Westminster",18.628015581767
"E00023637","Westminster",17.861791140073
"E00023635","Westminster",17.755533981323
"E00023633","Westminster",17.944322022525
"E00023630","Westminster",18.040842276353
"E00023631","Westminster",17.716283913815
"E00023638","Westminster",17.481513390174
"E00023639","Westminster",18.369872706277
"E00023916","Westminster",18.473670853509
"E00023997","Westminster",17.192028339093
"E00024106","Westminster",16.883124669393
"E00023996","Westminster",17.348535283407
"E00023917","Westminster",16.889669554574
"E00024107","Westminster",17.274791246302
"E00023995","Westminster",17.192665523953
"E00023914","Westminster",17.063866386414
"E00023994","Westminster",17.515773773193
"E00023992","Westminster",17.372743269976
"E00023913","Westminster",17.142550502505
"E00024103","Westminster",16.730114886635
"E00024100","Westminster",16.782046582964
"E00023990","Westminster",17.182367086411
"E00023911","Westminster",17.063717397054
"E00024101","Westminster",17.137211819913
"E00023918","Westminster",17.934803993471
"E00023999","Westminster",17.567761328913
"E00024108","Westminster",18.770974848006
"E00023919","Westminster",16.904423478131
"E00023998","Westminster",17.580298233032
"E00024109","Westminster",17.847511740292
"E00023826","Westminster",18.250526279873
"E00023827","Westminster",18.397533893585
"E00023824","Westminster",18.495188483485
"E00024057","Westminster",17.474467277527
"E00023825","Westminster",19.125769453229
"E00024054","Westminster",17.814617429461
"E00023822","Westminster",19.115906273446
"E00024055","Westminster",17.56970861223
"E00023823","Westminster",17.919520378113
"E00024052","Westminster",17.503932811596
"E00023820","Westminster",18.404002645741
"E00024053","Westminster",17.364433390299
"E00023821","Westminster",18.051606042045
