Property Reference Number,Primary Liable party name,Full Property Address,Current Rateable Value
110224200181N,Clear Channel Uk Ltd,"Adshell 1902 0040, Adj 18, Flass Lane, Barrow In Furness, Cumbria, LA13 0AB",300
110224209000N,Gvs Filter Technology Uk Ltd,"Former Remploy Factory, Flass Lane, Barrow In Furness, Cumbria, LA13 0GW",23000
110224209123N,Roose Pioneers Rugby Club,"Holker Pioneers Rugby Club, Flass Lane, Barrow In Furness, Cumbria, LA13 0AB",9000
110224209124N,Tesco Stores Ltd,"Tesco Stores Ltd, , Flass Lane, Barrow In Furness, Cumbria, LA13 0BZ",169000
110224209126N,Tesco Personal Finance Plc,"Atm Site At Tesco Stores Ltd, Flass Lane, Barrow In Furness, Cumbria, LA13 0BZ",5900
110229509012N,Cumbrian Co-Op Society,"Atm Site At, Cumbrian Co-Operative Society Ltd, Holyoake Avenue, Barrow In Furness, Cumbria, LA13 9LJ",5900
110230409000N,Clear Channel Uk Ltd,"Adshel 1902 0097 Corner Of, Hector Street, Hollow Lane, Barrow In Furness, Cumbria, LA13 9NA",300
110338251361N,Clear Channel Uk Ltd,"Adshell 1902 0026, Opp 136, Lesh Lane, Barrow In Furness, Cumbria, LA13 9EQ",300
110338259041N,Cumbria County Council,"Newbridge House, Ewan Close, Barrow In Furness, Cumbria, LA13 9HU",11000
110338259060N,"Barrow Wanderers Fc,","Barrow Wanderers Fc, Lesh Lane, Barrow In Furness, Cumbria, LA13 9DY",4650
110342109010N,Arqiva Services Ltd,"National Grid Wireless 140261 Sd321470, Maylands Grove, Barrow In Furness, Cumbria, LA13 0AN",19500
111156909100N,Rampside Village Hall Cttee,"Rampside Village Hall, Rampside, Barrow In Furness, Cumbria, LA13 OPY",9700
111158309000N,Barrow Borough Council,"Public Conveniences, Piel Street, Roa Island, Barrow In Furness, Cumbria, LA13 OQJ",4950
111158309012N,R.N.L.I.,"Lifeboat Station, Piel Street, Roa Island, Barrow In Furness, Cumbria, LA13 0QL",206000
111158309062N,Eden Retreat Ltd,"Roa Island Guest House, Roa Island, Barrow In Furness, Cumbria, LA13 0QL",5300
111158309240N,Roa Island Boating Club Ltd,"Roa Island Boating Club Ltd., Piel Street, Roa Island, Barrow In Furness, Cumbria, LA13 OQJ",13000
111158309241N,Barrow Borough Council,"Land At Piel Street, Roa Island, Barrow In Furness, Cumbria, LA13 0QJ",1150
111248509020N,Cumbria County Council,"Roose School, North Row, Barrow In Furness, Cumbria, LA13 OHF",25750
111257009060N,E E Limited,"Orange Pcs Ltd Cum 0051 Sd322469 (Roose Allotment Gardens),, Old Rampside Road, Barrow In Furness, Cumbria, LA13 0TA",5200
111257009070N,Burlington Aggregates Limited,"Roose Sand Quarry, Rampside Road, Barrow In Furness, Cumbria, LA13 OPP",21750
111257009100N,Arqiva Services Ltd,"Bbc Site 375 (Roose Allotment Gardens),, Old Rampside Road, Barrow In Furness, Cumbria, LA13 0TA",5800
111257009191N,"The Treasurer,","Roose Conservative Club,, Rampside Road, Barrow In Furness, Cumbria, LA13 0HP",13250
111257009192N,Roose Bowling Club,"Roose Bowling Club, Rampside Road, Barrow In Furness, Cumbria, LA13 0HP",1550
111257009200N,"Furness Cavaliers Afc,","Furness Cavaliers Afc, Rampside Road, Barrow In Furness, Cumbria, LA13 OHN",3450
111257009291N,British Gas,"North & South Terminals, Rampside, Barrow In Furness, Cumbria, LA13 0QZ",4225000
111257009292N,British Gas,"Landfall To British Gas North Terminal, Rampside, Barrow In Furness, Cumbria, LA13 0QZ",285000
111257009293N,British Gas,"Landfall To British Gas South Terminal, Rampside, Barrow In Furness, Cumbria, LA13 0QZ",202500
111257009294N,Burlington Resources (Irish Sea) Limited,"Landfall To New Rivers Terminal, Rampside Road, Barrow In Furness, Cumbria, LA13 OQZ",290000
111264959113N,Airwave Smart Mobile,"Airwave (Cum005d) At Bowesfield Farm, Stank, Barrow In Furness, Cumbria, LA13 0LS",3200
111331379011N,Holbeck Homes Ltd,"Crofters Golf Course, Holbeck Park Avenue, Barrow In Furness, Cumbria, LA13 0LL",2150
111331379050N,Holbeck Homes Ltd,"153 , Holbeck Park Avenue, Barrow In Furness, Cumbria, LA13 0SB",15250
111458009000N,Yarlside Academy,"Yarlside Academy, Red Oak Avenue, Barrow In Furness, Cumbria, LA13 OLH",29250
111458879002N,"Deltawaite Ltd,","Unit 2 Old Dairy, Roose Road, Barrow In Furness, Cumbria, LA13 OEP",10500
111458879013N,Woodbine Dairy Ltd,"The Old Dairy, Roose Road, Barrow In Furness, Cumbria, LA13 0EP",5500
111478209050N,Holbeck Stores Limited T/A Yarlside Stores,"Yarlside Stores, Yarlside Road, Barrow In Furness, Cumbria, LA13 OEY",10500
111478209060N,St Perrans Scout Group,"St Perrans Scout Troop, Yarlside Road, Barrow In Furness, Cumbria, LA13 OEU",3150
111539109000N,Barrow Borough Council,"Community Centre, Longway, Barrow In Furness, Cumbria, LA13 ODW",4000
111559001760N,J N Murray Ltd,"176, Roose Road, Barrow In Furness, Cumbria, LA13 OEE",5500
111559009101N,A B Mitchell Developments Ltd,"Roosegate Housing Office, 182, Roose Road, Barrow In Furness, Cumbria, LA13 OEE",6200
111559009191N,Carlisle Diocesan Board Of Finance,"R/O St Lukes Church Hall, Roose Road, Barrow In Furness, Cumbria, LA13 9RQ",790
111559009200N,Clear Channel Uk Ltd,"Adshell 1902 0058 Adj 98,, Roose Road, Barrow In Furness, Cumbria, LA13 9RL",480
111559009351N,Spring Mount Christian Fellowship,"Salthouse Pavilion,, Roose Road, Barrow In Furness, Cumbria, LA13 9RQ",11250
111559009361N,Nationwide Training Centres Limited,"Tyre Services Great Britain Ltd, Roose Road, Barrow In Furness, Cumbria, LA13 9RQ",22000
112180709001N,Ashworth St Garage Ltd,"F G Murray (Jnr) & P Grainger, Ashworth St Garage, Ashworth Street, Dalton In Furness, Cumbria, LA15 8SH",4200
112181809010N,M T Wood Prop & Maintenance Ltd,"Fire Station, Butts Beck, Dalton In Furness, Cumbria, LA15 8EP",11750
112182309030N,Dalton Old Peoples Welfre Cttee,"Clubroom, Chapel Street, Dalton In Furness, Cumbria, LA15 8DA",2175
112182309110N,Cumbria County Council,"Chapel Street County Infants Sch, Chapel Street, Dalton In Furness, Cumbria, LA15 8RX",20500
112182609130N,Cumbria County Council,"George Romney School, Cobden Street, Dalton In Furness, Cumbria, LA15 8SE",29750
112183300020N,D & P Johnson Ltd,"Crossgates Smallholding, Broughton Road, Dalton In Furness, Cumbria, LA15 8JR",1000
112239910218N,Hrs Lindal Ltd,"Hrs Lindal Ltd, Wcf Yard, Pennington Lane, Lindal In Furness, Cumbria, LA12 OLA",1575
112283709041N,Cumbria Partnership Nhs Foundation Trust,"Dalton Clinic, Dowdales, Dalton In Furness, Cumbria, LA15 8AJ",18000
112284209000N,Arqiva Ltd,"Ntl Site 10348, Fair View, Marton In Furness, Cumbria, LA12 OHN",25750
112285409020N,"The Baldwin Masonic Hall Co.Ltd,","Masonic Hall, Hall Street, Dalton In Furness, Cumbria, LA15 8RS",3700
112287600550N,South Lakes Lettings Ltd,"55, Market Street, Dalton In Furness, Cumbria, LA15 8AP",3250
112287600571N,Livingstons Solicitors,"57-61, Market Street, Dalton In Furness, Cumbria, LA15 8AW",6600
112287600630N,Emu Enterprises Ltd,"Wellington Hotel, 63, Market Street, Dalton In Furness, Cumbria, LA15 8AW",41750
112287600670N,"Nat.Westminster Bank Plc,","67-69, Market Street, Dalton In Furness, Cumbria, LA15 8AE",10000
112287600675N,Sackville Spf Iv (Gp) No.3 Limited,"Three Rooms 1st Flr Natwest Bank Chambers, 67, Market Street, Dalton In Furness, Cumbria, LA15 8AE",2100
112287600679N,Sackville Spf Iv (Gp) No.3 Limited,"2nd Flr & 3 Rms 1st Flr Rear, 67, Market Street, Dalton In Furness, Cumbria, LA15 8AE",3650
112287600712N,P&F Estates Ltd,"1st & 2nd Flrs Part 69, Market Street, Dalton In Furness, Cumbria, LA15 8DL",2075
112287600730N,St Marys Hospice,"73, Market Street, Dalton In Furness, Cumbria, LA15 8DL",5400
112287600750N,Lloyds Pharmacy Ltd,"75-77, Market Street, Dalton In Furness, Cumbria, LA15 8DL",11500
112287601417N,Elegance By Jayne Ltd,"141, Market Street, Dalton In Furness, Cumbria, LA15 8RG",3250
112287601432N,St Marys Hospice,"143., Market Street, Dalton In Furness, Cumbria, LA15 8RQ",10250
112288309191N,Barrow Borough Council,"Nelson Street Car Park, Nelson Street, Dalton In Furness, Cumbria, LA15 8AF",1600
112289209070N,S & P Higginson Ltd,"5, Rowlinson Place, Dalton In Furness, Cumbria, LA15 8DH",1250
112291400900N,Dalton Parish Council,"Dalton Market, Tudor Square, Dalton In Furness, Cumbria, LA15 8RJ",1500
112399100530N,Buccleuch Village Hall,"Buccleuch Hall, The Green, Lindal In Furness, Cumbria, LA12 OLX",2100
112399103010N,Cumbria County Council,"Lindal & Marton Cty Primary Sch, School Hill, Lindal In Furness, Cumbria, LA12 ONB",9600
112399109003N,Chandlers Country Fayre Ltd,"Chandlers Country Cafe, Lindal Business Park, Lindal, Lindal In Furness, Cumbria, LA12 0LL",22500
112399109004N,Wax Lyrical Ltd,"Colony Gift Corporation Ltd, Lindal Business Park, Lindal, Lindal In Furness, Cumbria, LA12 0LL",160000
112499200300N,United Utilities Water Plc,"Nwwa Opp New Inn, Marton, Marton In Furness, Cumbria, LA12 0NQ",3650
112595509040N,Greenscoe Gems Ltd,"Greenscoe Gems, St Anthonys Church, Crossley Street, Askam In Furness, Cumbria, LA16 7AS",3600
112595509120N,Askam United Afc,"Askam United Afc, Duddon Road, Askam In Furness, Cumbria, LA16 7AN",3250
112595509160N,H Barker Props Ltd,"Unit 2 & 3 Station Yard, Duddon Road, Askam In Furness, Cumbria, LA16 7AL",8900
112595600098N,Cumbrian Co-Op Society,"Co-Operative Wholesale Society,, Duke Street, Askam In Furness, Cumbria, LA16 7AA",15750
112595600099N,Cumbrian Co-Op Society,"Atm Site At, Co-Operative Wholesale Society Ltd, Duke Street, Askam In Furness, Cumbria, LA16 7AA",5900
112595600873N,E-Property Ltd,"87, Duke Street, Askam In Furness, Cumbria, LA16 7AD",2050
112595609001N,Askam And Ireleth Community Centre Limited,"Askam Community Centre, Duke Street, Askam In Furness, Cumbria, LA16 7AE",2200
112595609030N,Community Centre,"School Playing Field, Duke Street, Askam In Furness, Cumbria, LA16 7AD",215
112596009140N,Harry Barker Property Ltd,"The Old Quarry Yard, Greenscoe, Askam In Furness, Cumbria, LA16 7HE",16000
112596009151N,Burlington Aggregates Ltd,"Goldmire Quarry ., Thwaite Flat, Barrow In Furness, Cumbria, LA14 4QG",48000
112598419000N,United Utilities Water Plc,"Nwwa, Sewage Works, Askam In Furness, Cumbria, LA16 7HE",37500
112599000690N,Ireleth Temperance Hall,"Temperance Hall, Ireleth, Askam In Furness, Cumbria, LA16 7EG",1300
112599002091N,Cjs Car Sales Ltd,"Cjs Car Sales Ltd, Ireleth Road, Askam In Furness, Cumbria, LA16  7DJ",12000
112599002554N,Furness Cars & Commercials Ltd,"Warehouse And Premises, Tippins Lane, Tippings Lane, Askam In Furness, Cumbria, LA16 7HA",14250
112696709000N,Cumbria County Council,"Library, Lord Street, Askam In Furness, Cumbria, LA16 7AQ",1900
112696809200N,"Askam Village School Corpn,","Askam School, Lots Road, Askam In Furness, Cumbria, LA16 7DA",32750
112697009300N,Askam Arlc,"Askam Amateur Rugby League Club, Sandy Lane, Askam In Furness, Cumbria, LA16 7BD",10500
112697009400N,Cumbria Constabulary,"Police Office Askam & Ireleth Community Field Car Park, Sandy Lane, Askam In Furness, Cumbria, LA16 7BD",620
112697109040N,Wrg Waste Services Ltd,"Bennett Bank, Adj, Park Farm, Dalton In Furness, Cumbria, LA15 8JZ",43750
112697109041N,Infinis Plc,"Bennet Bank Landfill Site, Thwaite Flat, Barrow In Furness, Cumbria, ",35000
112697260010N,Harry Barker Property Ltd,"1, White Combe Way, Askam In Furness, Cumbria, LA16 7FA",10750
112697359021N,C.A.T.M.H.S.,"Store, Roanhead, Barrow In Furness, Cumbria, LA14 4QN",550
112697359040N,Environmental Health,"Public Conveniences, Roanhead, Barrow In Furness, Cumbria, LA14 4QL",1000
112697359045N,Kinetica 868 Ltd,"Roanhead Solar Farm, Roanhead, Barrow In Furness, Cumbria, LA14 4QJ",56750
112697359050N,The National Trust,"Car Park,Nth Of Sandscale Cotts, Roanhead, Barrow In Furness, Cumbria, LA14 4QJ",1800
112697359080N,The National Trust,"The National Trust Near Sandscale Cottages, Roanhead, Barrow In Furness, Cumbria, LA14 4QJ",1500
112697389206N,Partylite Manufacturing Ltd,"Partylite Manufacturing Ltd, Sandscale Park, Park Road, Barrow In Furness, Cumbria, LA14 4QT",144000
112963090026N,Urofoam Ltd,"Urofoam Ltd, Duddon Road, Askam In Furness, Cumbria, LA16  7AN",63000
113180100090N,Chequers Hotel & Restaurant Limited,"Chequers Motel & Restaurant, 10, Abbey  Road, Dalton In Furness, Cumbria, LA15 8LF",60500
113181209001N,1st Duddon Scouts,"Scout Hut, Beckside Road, Dalton-In-Furness, Cumbria, LA15 8DP",1200
113182209000N,Development Division,"Cemetery, Cemetery Hill, Dalton In Furness, Cumbria, LA15 8LL",9100
113182209015N,Fbm Building Supplies Ltd (In Liquidation),"F B M, Cemetery Hill, Dalton In Furness, Cumbria, LA15 8LN",38500
113183109020N,Dalton Rlfc,"Dalton Rlfc, Crooklands Brow, Ulverston Road, Dalton In Furness, Cumbria, LA15 8HB",7400
113183109061N,Marsh Plant & Contracting Ltd,"M Marsh Eure Pits, Crooklands Brow, Dalton-In-Furness, Cumbria, ",3850
113184800900N,Barrow Borough Council,"Car Park, Goose Green, Dalton In Furness, Cumbria, LA15 8LQ",960
113187600701N,"W G Ross & Co Ltd,","70, Market Street, Dalton In Furness, Cumbria, LA15 8AA",3600
113187600720N,Market Street House Ltd,"72, Market Street, Dalton In Furness, Cumbria, LA15 8AA",8100
113187600741N,Done Brothers  Ltd,"74, Market Street, Dalton In Furness, Cumbria, LA15 8AA",4950
113187600820N,Ho2 Management Limited,"80-82, Market Street, Dalton In Furness, Cumbria, LA15 8DJ",8100
113187600840N,"Furness Building Society,","84, Market Street, Dalton In Furness, Cumbria, LA15 8DJ",5100
113187600860N,P&L Enterprise (Cumbria) Ltd,"86-88, Market Street, Dalton In Furness, Cumbria, LA15 8DJ",7100
113187600900N,"Barclays Bank Plc,","90, Market Street, Dalton In Furness, Cumbria, LA15 8DJ",6900
113187601320N,Idh Limited,"130-132, Market Street, Dalton In Furness, Cumbria, LA15 8RG",3950
113187601520N,The Full Octave Ltd,"152, Market Street, Dalton In Furness, Cumbria, LA15 8RQ",2475
113290800120N,Geldart Limited,"12, Station Road, Dalton In Furness, Cumbria, LA15 8DW",3050
113290800314N,Powder & Paint Photography Limited,"31, Station Road, Dalton In Furness, Cumbria, LA15 8PL",2450
113290809040N,Dalton Parish Council,"Council Offices, Station Road, Dalton In Furness, Cumbria, LA15 8DW",4550
113291600040N,Forge Europa Limited,"Unit 4, Crooklands Business Park, Ulverston Road, Dalton In Furness, Cumbria, LA15 8FD",8500
113291600420N,Aerialek (Dalton) Ltd,"42-44, Ulverston Road, Dalton In Furness, Cumbria, LA15 8EF",3400
113291600760N,Dalton Cricket Club,"Dalton Cricket Club, Ulverston Road, Dalton In Furness, Cumbria, LA15 8EY",12000
113388401230N,Cumbria County Council,"Newton County Primary School, Newton, Newton In Furness, Nr Dalton In Furness, Cumbria, LA13 0LT",6800
113487309105N,Courtesy Shoes Limited,"Furness Footwear Ltd, Billings Road, Dalton In Furness, Cumbria, LA13 0SG",19500
113487309110N,"Shaw Hadwin Coaches,","Shaw Hadwin, Billings Road, Dalton In Furness, Cumbria, LA13 0SG",20500
113487309111N,E Sutton & Son Ltd,"Unit 3 Long Lane Industrial Estate, Billings Road, Dalton In Furness, Cumbria, LA13 0SG",9500
113487309114N,E Sutton &Son Ltd,"Unit 2, Long Lane Ind Estate, Billings Road, Long Lane, Barrow In Furness, LA13 0SG",10250
113487309133N,Soa Safety Ltd,"Soa Safety, Standsure House, Billings Road, Dalton In Furness, Cumbria, LA13 0SG",14250
113489700090N,Martin Mccoll Limited,"7-11, Ruskin Avenue, Dalton In Furness, Cumbria, LA15 8LU",6600
113489700130N,Mr Wai Chung Lo,"13, Ruskin Avenue, Dalton In Furness, Cumbria, LA15 8LU",2075
113489700190N,Mrs Sarah Nisbet,"19, Ruskin Avenue, Dalton In Furness, Cumbria, LA15 8LU",2700
113490601000N,Mr S  Fisher,"Tythe Barn Nurseries, Long Lane, Dalton In Furness, Cumbria, LA13 0NG",1450
113499209050N,Arqiva Services Ltd,"Cti Site 141195 At Stewnor Bank Farm, Stewner Park, Marton In Furness, Cumbria, LA12 ONR",45250
